,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2008,"162,219","27,944","2,795","3,551","3,551","57,537","95,226","46,951","36,879","48,275","1,682.00","22,868.00",,2.19,14.71,7.46
Năm 2009,"161,767","31,542","4,264","5,128","5,128","71,911","115,812","60,324","53,807","55,488","2,346.00","25,382.00",,3.17,9.88,4.86
Năm 2010,"192,602","46,611","7,193","6,616","6,616","81,883","123,922","65,421","61,937","58,501","3,007.00","26,591.00",,3.44,11.61,5.52
Năm 2011,"201,027","58,502","3,134","2,228","2,228","82,146","124,414","68,402","64,614","56,012","1,013.00","25,460.00",,1.11,3.89,1.79
Năm 2012,"204,292","81,601","8,681","6,883","6,883","79,968","127,820","66,696","62,805","61,123","2,607.00","23,153.00",,3.37,11.75,5.46
Năm 2013,"253,266","92,521","15,288","11,033","11,033","100,060","145,425","77,695","73,868","67,730","4,179.00","25,656.00",0,4.36,17.12,8.08
Năm 2014,"343,052","119,981","23,480","16,632","16,632","145,367","194,641","105,206","101,935","89,435","4,200.00","22,585.00",0,4.85,21.16,9.78
Năm 2015,"409,255","123,629","16,383","13,417","13,417","143,566","208,411","115,795","114,581","92,615","3,080.00","21,262.00",9.74,3.28,14.74,6.66
Năm 2016,"331,077","154,113","27,208","21,987","21,987","214,746","286,493","186,037","184,128","100,456","5,048.00","23,062.00",5.17,6.64,22.78,8.89
Năm 2017,"337,394","147,781","36,217","29,161","29,161","249,717","342,623","190,523","190,194","152,100","4,443.00","20,540.00",5.51,8.64,23.09,9.27
Năm 2018,"419,496","137,565","40,285","32,387","32,387","316,118","465,059","290,973","270,653","174,087","3,673.00","18,084.00",5.45,7.72,19.86,8.02
Năm 2019,"467,531","144,396","35,532","28,411","28,411","370,417","541,350","328,655","307,565","212,695","2,928.00","16,571.00",5.46,6.08,14.69,5.65
Năm 2020,"494,978","162,606","36,155","28,870","28,870","398,246","599,211","381,188","362,786","218,023","2,249.00","16,986.00",7.60,5.83,13.41,5.06
Năm 2021,"521,799","186,998","41,023","33,226","33,226","498,683","670,870","438,640","415,893","232,230","2,589.00","18,093.00",8.34,6.37,14.76,5.23
Năm 2022,"687,047","229,351","52,946","42,910","42,910","528,116","802,440","488,272","456,231","314,168","2,488.00","17,484.00",8.76,6.25,15.71,5.83
Năm 2023,"725,130","214,726","53,929","43,613","43,613","579,184","897,763","543,079","525,294","354,684","2,318.00","17,164.00",11.22,6.01,13.04,5.13
Năm 2024,"793,261","233,017","60,595","48,890","48,890","609,779","1,094,279","694,419","575,850","399,859","2,184.00","17,277.00",17.82,6.16,12.96,4.91
