,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2010,"269,143","17,307","5,427","4,616","4,616","226,180","340,000","208,987","206,410","131,013",355.00,"10,066.00",,1.72,7.05,2.72
Năm 2011,"883,092","54,211","22,552","18,090","18,090","544,675","664,730","515,745","511,986","148,986","1,392.00","11,449.00",,2.05,12.92,3.60
Năm 2012,"891,993","58,498","11,554","10,483","10,483","617,415","740,387","595,533","593,078","144,854",806.00,"11,135.00",,1.18,7.13,1.49
Năm 2013,"930,030","76,055","10,890","9,438","9,438","587,425","701,882","556,649","554,332","145,234",726.00,"11,165.00",,1.01,6.51,1.31
Năm 2014,"930,030","76,055","10,890","9,438","9,438","587,425","701,882","556,649","554,332","145,234",726.00,"11,165.00",,1.01,6.50,1.34
Năm 2015,"1,095,722","98,690","19,846","15,728","15,728","714,564","820,477","661,546","659,012","158,931","1,210.00","12,220.00",,1.44,10.34,2.07
Năm 2016,"1,196,848","105,659","23,191","19,557","19,557","777,980","882,960","716,963","714,728","165,997","1,504.00","12,764.00",,1.63,12.04,2.30
Năm 2017,"1,225,437","112,909","23,905","19,996","19,996","852,159","950,450","778,402","776,242","172,048","1,538.00","13,230.00",12.35,1.63,11.83,2.18
Năm 2018,"1,151,214","104,251","8,254","6,053","6,053","1,107,313","1,195,871","1,017,775","1,015,841","178,095",466.00,"13,696.00",40.81,0.53,3.46,0.56
Năm 2019,"1,447,491","105,736","9,481","6,954","6,954","908,749","991,683","806,790","805,856","184,893",535.00,"14,219.00",22.24,0.48,3.83,0.64
Năm 2020,"1,008,661","94,056","7,368","6,427","6,427","880,706","967,610","776,292","775,358","191,318",494.00,"14,713.00",20.63,0.64,3.42,0.66
Năm 2021,"1,374,448","83,676","6,340","5,260","5,260","1,094,431","1,182,699","986,927","986,927","195,771",405.00,"15,056.00",48.19,0.38,2.72,0.49
Năm 2022,"1,171,763","74,599","6,630","3,976","3,976","947,737","1,035,708","843,358","842,424","192,350",306.00,"14,793.00",35.63,0.34,2.05,0.36
Năm 2023,"1,024,232","73,835","5,064","3,620","3,620","935,995","1,029,970","860,205","859,270","169,765",278.00,"13,055.00",90.50,0.35,2.00,0.35
Năm 2024,"1,073,032","84,849","6,831","3,653","3,653","1,097,544","1,195,416","994,608","993,674","200,808",281.00,"15,443.00",50.89,0.34,1.97,0.33
