,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2004,"1,266",-86,-601,-601,-601,"3,701","14,809",666,666,"14,143",-398.00,"9,372.00",,-47.42,-8.49,-8.11
Năm 2005,"3,302","1,398",392,377,377,"3,797","14,710",225,225,"14,485",250.00,"9,599.00",,11.43,2.64,2.56
Năm 2006,"4,341","1,707",654,654,654,"3,894","15,155",57,57,"15,098",434.00,"10,005.00",,15.07,4.42,4.38
Năm 2007,"5,512","2,188","1,268","1,109","1,109","11,404","22,042",225,221,"21,817",528.00,"10,389.00",,20.13,6.01,5.97
Năm 2008,"5,815","2,509","1,246","1,103","1,103","12,151","23,150",730,726,"22,420",525.00,"10,676.00",,18.96,4.99,4.88
Năm 2009,"5,623","2,041",867,791,791,"9,634","23,563",669,664,"22,894",377.00,"10,902.00",,14.07,3.49,3.39
Năm 2010,"10,176","4,586","1,900","1,739","1,739","14,528","30,005","5,712","5,708","24,293",828.00,"11,568.00",,17.09,7.37,6.49
Năm 2011,"9,613","1,341","-1,953","-2,731","-2,731","10,413","28,102","6,712","4,792","21,390","-1,297.00","10,110.00",,-28.41,-11.96,-9.40
Năm 2012,"9,583","2,614",-356,-530,-530,"6,507","23,993","3,133","2,056","20,860",-250.00,"9,859.00",,-5.53,-2.51,-2.03
Năm 2013,"7,741","2,292",122,145,145,"9,455","27,043","6,039","4,525","21,005",68.00,"9,928.00",0,1.87,0.69,0.57
Năm 2014,"4,173",-189,"-7,593","-9,204","-9,204","8,888","25,221","13,420","2,059","11,801","-4,350.00","5,577.00",0,-220.58,-56.11,-35.22
Năm 2015,"8,055","2,528",-431,-654,-654,"7,852","21,911","10,675","3,172","11,236",-309.00,"5,311.00",0,-8.12,-5.68,-2.78
Năm 2016,"11,352","3,929",916,811,811,"10,501","20,421","8,373","3,514","12,048",384.00,"5,694.00",23.63,7.15,6.97,3.83
Năm 2017,"71,860","42,464","39,271","39,146","38,378","382,347","415,286","63,857","28,688","351,429","2,396.00","12,960.00",7.64,54.48,21.12,17.62
Năm 2018,"450,796","225,545","220,208","219,476","215,098","344,658","651,686","81,547","64,322","570,138","7,933.00","21,026.00",4.79,48.69,46.68,40.32
Năm 2019,"487,382","238,692","224,686","224,345","219,842","152,742","871,979","80,386","36,911","791,593","7,226.00","20,852.00",3.39,46.03,32.29,28.86
Năm 2020,"161,982","81,269","64,432","86,712","84,620","358,989","920,462","101,264","66,297","819,199","2,229.00","21,579.00",9.51,53.53,10.51,9.44
Năm 2021,"220,413","110,075","79,164","78,312","78,682","1,005,956","1,530,039","315,807","157,192","1,214,232",929.00,"13,327.00",15.51,35.53,7.74,6.42
Năm 2022,"284,845","83,390","48,194","56,413","54,640","1,483,966","2,001,913","325,133","188,887","1,676,780",485.00,"12,790.00",6.80,19.80,3.78,3.09
Năm 2023,"196,570","49,592","15,981","13,851","13,803","1,582,098","1,972,918","282,835","154,994","1,690,083",105.00,"12,891.00",37.04,7.05,0.82,0.69
Năm 2024,"309,827","32,708","-6,636","3,335","4,754","973,005","1,975,012","281,577","155,077","1,693,435",36.00,"12,917.00",41.37,1.08,0.28,0.24
