,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2008,"54,699","35,409","30,580","27,841","27,841","27,927","115,824","23,752","21,052","92,072","3,222.00","10,656.00",0,50.90,60.48,48.08
Năm 2009,"61,280","37,462","30,881","28,719","28,719","19,472","129,965","12,495","11,347","117,471","3,324.00","13,596.00",0,46.86,27.41,23.37
Năm 2010,"67,056","38,660","28,428","25,100","25,100","43,147","165,356","18,749","6,676","146,607","2,490.00","12,813.00",5.22,37.43,19.01,17.00
Năm 2011,"116,036","65,410","37,554","34,554","34,554","54,267","276,002","121,065","53,058","154,937","3,020.00","13,543.00",4.80,29.78,22.92,15.66
Năm 2012,"100,962","46,418","17,159","12,954","12,954","30,177","248,878","95,545","40,563","153,333","1,132.00","13,403.00",9.01,12.83,8.40,4.94
Năm 2013,"91,666","42,754","19,279","15,557","15,557","33,321","222,293","64,886","26,024","157,406","1,360.00","13,759.00",10.00,16.97,10.01,6.60
Năm 2014,"97,738","50,604","31,325","24,999","24,999","44,335","221,460","49,932","27,442","171,528","2,168.00","14,270.00",8.12,25.58,15.20,11.27
Năm 2015,"101,861","54,003","36,477","27,297","27,297","39,974","232,921","42,701","33,806","190,220","2,293.00","16,094.00",8.15,26.80,15.09,12.01
Năm 2016,"110,431","62,080","50,982","41,374","41,374","42,614","245,045","27,264","23,974","217,781","3,503.00","18,450.00",5.30,37.47,20.28,17.31
Năm 2017,"153,897","108,011","85,985","66,304","66,304","113,991","300,790","30,011","27,621","270,780","5,617.00","22,940.00",14.69,43.08,27.14,24.29
Năm 2018,"165,892","119,744","94,006","74,400","74,400","168,517","371,228","31,257","31,257","339,971","6,303.00","28,801.00",4.97,44.85,24.36,22.14
Năm 2019,"143,324","97,060","70,513","55,971","55,971","266,525","1,023,639","425,253","95,466","598,385","4,742.00","50,693.00",4.27,39.05,11.93,8.03
Năm 2020,"141,978","83,026","53,103","45,575","45,575","203,419","1,012,097","372,054","35,477","640,043","2,366.00","32,155.00",10.27,32.10,7.36,4.48
Năm 2021,"128,544","45,340","-1,533","-1,595","-1,595","219,810","999,850","364,593","43,216","635,257",-80.00,"31,914.00",-319.44,-1.24,-0.25,-0.16
Năm 2022,"135,740","44,893","-9,006","-9,007","-9,007","242,774","973,919","347,669","87,491","626,250",-453.00,"31,462.00",-30.72,-6.64,-1.43,-0.91
Năm 2023,"117,910","25,401","-34,850","-35,609","-35,609","128,898","890,474","299,834","114,056","590,641","-1,789.00","29,673.00",-5.25,-30.20,-5.85,-3.82
Năm 2024,"131,101","31,743","-20,560","-20,860","-20,860","87,877","814,193","244,412","132,406","569,781","-1,042.00","28,317.00",-6.34,-15.91,-3.60,-2.45
