,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2008,"81,887","5,623",-375,"5,920","5,920","34,877","90,943","41,285","22,101","49,657","1,465.00","12,291.00",,7.23,23.84,13.02
Năm 2009,"86,729","7,225",-21,423,423,"27,484","86,957","38,373","20,498","48,584",105.00,"12,012.00",,0.49,0.86,0.48
Năm 2010,"70,002","14,055","2,515","2,664","2,664","50,915","121,462","70,722","55,905","50,740",659.00,"12,559.00",,3.81,5.36,2.56
Năm 2011,"109,804","21,255","3,854","1,859","1,859","95,769","162,571","115,246","114,095","47,325",460.00,"11,714.00",,1.69,3.79,1.31
Năm 2012,"145,422","31,161","14,597","7,324","7,324","144,170","201,593","150,564","149,338","51,029","1,813.00","12,631.00",,5.04,14.89,4.02
Năm 2013,"87,564","22,925","7,004","3,011","3,011","184,123","235,551","183,659","181,130","51,891",745.00,"12,844.00",0,3.44,5.85,1.38
Năm 2014,"83,226","24,804","8,112","5,088","5,088","146,328","193,440","139,548","136,279","53,891","1,259.00","13,339.00",0,6.11,9.62,2.37
Năm 2015,"72,488","18,797","2,247","1,110","1,110","137,041","179,249","127,911","126,637","51,338",276.00,"12,769.00",35.68,1.53,2.11,0.60
Năm 2016,"73,641","22,712","4,025","2,753","2,753","139,384","178,432","126,259","124,305","52,172",681.00,"12,914.00",18.05,3.74,5.32,1.54
Năm 2017,"74,942","22,425","6,220","4,687","4,687","136,645","172,856","118,474","116,680","54,382","1,160.00","13,461.00",4.91,6.25,8.80,2.67
Năm 2018,"81,645","28,011","13,918","11,003","11,003","59,702","93,770","14,444","12,748","79,326","2,271.00","13,221.00",3.21,13.48,16.46,8.25
Năm 2019,"56,198","8,819","-2,795","-2,600","-2,600","38,048","74,507","17,077","14,672","57,430",-433.00,"9,572.00",-28.85,-4.63,-3.80,-3.09
Năm 2020,"53,924",543,"-11,861","-11,492","-11,492","30,279","69,109","23,171","19,494","45,937","-1,915.00","7,656.00",-4.70,-21.31,-22.24,-16.00
Năm 2021,"75,507","8,912","-6,038","-4,303","-4,303","46,405","85,848","44,221","41,293","41,627",-717.00,"6,938.00",-15.76,-5.70,-9.83,-5.55
Năm 2022,"118,986","16,393","-1,732","-1,441","-1,441","68,860","116,002","75,839","71,986","40,163",-240.00,"6,694.00",-29.98,-1.21,-3.52,-1.43
Năm 2023,"143,050","8,293","-7,664","-5,675","-5,675","54,547","101,978","67,498","63,377","34,480",-946.00,"5,747.00",-9.52,-3.97,-15.20,-5.21
Năm 2024,"147,032","15,608",515,345,345,"60,990","111,094","76,270","70,558","34,825",58.00,"5,804.00",182.64,0.23,1.00,0.32
