,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2011,"14,984","7,839","3,333","2,748","2,748","33,585","42,173","8,678","8,220","33,495","1,082.00","13,186.00",,18.34,16.41,13.03
Năm 2012,"25,439","12,067","2,253","2,136","2,136","37,302","54,786","19,756","8,450","35,030",841.00,"13,790.00",,8.39,6.23,4.41
Năm 2013,"26,485","13,616","2,101","1,575","1,575","21,671","65,353","29,502","13,780","35,850",620.00,"14,113.00",,5.95,4.45,2.62
Năm 2014,"31,389","15,005",838,391,391,"15,979","61,379","25,978","11,256","35,400",154.00,"13,936.00",,1.24,1.10,0.62
Năm 2016,"10,687","4,340",-7,-16,-16,"18,097","54,919","20,315","10,293","34,604",-5.00,"9,995.00",,-0.15,-0.09,-0.06
Năm 2017,"32,527","11,143",132,2,2,"52,286","87,991","2,415","2,415","85,576",0,"9,995.00",0,0.01,0,0
Năm 2018,"32,812","8,339","2,697","2,047","2,047","60,382","91,436","3,894","3,894","87,541",239.00,"10,228.00",41.81,6.24,2.36,2.28
Năm 2019,"36,552","11,468","6,240","4,905","4,905","59,915","96,294","5,655","5,655","90,639",573.00,"10,599.00",17.09,13.42,5.51,5.23
Năm 2020,"35,979","10,009","5,998","5,095","5,095","72,432","103,966","11,043","11,043","92,923",596.00,"10,866.00",15.95,14.16,5.55,5.09
Năm 2021,"38,335","9,743","4,043","3,608","3,608","66,352","101,663","7,952","7,952","93,711",422.00,"10,958.00",128.01,9.41,3.87,3.51
Năm 2022,"56,313","18,025","9,896","7,872","7,872","70,994","119,339","20,502","15,459","98,837",921.00,"11,558.00",22.38,13.98,8.18,7.12
Năm 2023,"70,027","19,390","8,099","6,015","6,015","66,117","110,437","12,820","12,820","97,617",703.00,"11,415.00",27.72,8.59,6.12,5.24
Năm 2024,"72,711","22,663","10,594","7,932","7,932","73,559","111,763","12,230","12,230","99,534",931.00,"11,639.00",16.60,10.91,8.05,7.14
