,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số
Năm 2011,"2,432,339","224,371","19,561","17,075","17,075","1,135,224","1,215,867","1,102,531","1,088,778","113,336","2,629.00","17,449.00",,0.70,30.13,2.81,
Năm 2012,"2,672,111","223,568","17,873","19,268","19,268","1,228,818","1,308,611","1,179,941","1,177,466","128,670","2,815.00","18,798.00",,0.72,15.92,1.53,
Năm 2013,"2,825,261","206,657","10,427","21,083","21,083","1,218,359","1,299,466","1,151,716","1,150,132","147,750","2,774.00","19,440.00",,0.75,15.25,1.62,
Năm 2014,"3,011,676","211,089","25,075","26,100","26,100","1,382,032","1,464,797","1,303,575","1,303,575","161,222","3,434.00","21,213.00",,0.87,16.89,1.89,
Năm 2016,"3,211,742","209,536","26,294","21,418","21,405","1,647,914","1,863,279","1,669,640","1,603,317","193,639","1,172.00","10,599.00",,0.67,22.11,2.30,
Năm 2017,"3,663,399","216,401","20,367","31,873","31,859","1,796,907","2,025,645","1,821,331","1,762,808","204,314","1,744.00","11,183.00",0,0.87,16.01,1.64,
Năm 2018,"3,089,442","192,737","28,684","24,763","24,748","1,589,234","1,822,530","1,612,596","1,559,274","209,934","1,355.00","11,509.00",10.11,0.80,11.95,1.29,
Năm 2019,"2,992,345","179,642","27,124","25,623","25,621","1,571,244","1,832,816","1,617,966","1,552,258","213,413","1,406.00","11,720.00",5.69,0.86,12.10,1.40,"1,437"
Năm 2020,"2,957,141","195,668","29,661","18,662","18,647","1,992,077","2,236,825","2,025,380","1,969,498","211,445","1,024.00","11,612.00",10.06,0.63,8.78,0.92,
Năm 2021,"2,450,389","164,124","20,893","17,024","17,012","1,802,709","2,036,302","1,825,252","1,774,998","211,049",934.00,"11,591.00",18.84,0.69,8.06,0.80,
Năm 2022,"3,045,915","210,832","28,859","23,153","23,141","1,885,648","2,109,726","1,904,685","1,840,760","205,040","1,271.00","11,261.00",9.44,0.76,11.13,1.12,
Năm 2023,"3,064,030","209,964","15,935","9,189","9,305","1,949,074","2,161,009","1,957,396","1,898,148","203,613",511.00,"11,182.00",21.92,0.30,4.50,0.44,
Năm 2024,"3,208,680","235,904","27,689","19,070","19,070","1,933,714","2,134,674","1,917,466","1,888,268","217,208","1,047.00","11,929.00",9.74,0.59,9.06,0.89,
