,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2008,"180,420","56,115","13,610","13,672","13,672","43,150","114,967","82,565","48,204","32,401","9,115.00","21,241.00",,7.58,84.39,23.79
Năm 2009,"180,706","59,836","16,293","15,996","15,996","51,698","129,955","86,814","48,720","43,140","10,664.00","28,760.00",,8.85,42.35,13.06
Năm 2010,"218,966","77,975","24,469","24,309","24,309","76,599","155,852","94,571","82,719","61,281","16,206.00","40,854.00",,11.10,46.56,17.01
Năm 2012,"246,604","89,936","29,191","27,466","27,466","124,866","200,060","104,970","104,230","95,090","4,350.00","15,061.00",,11.14,57.77,27.46
Năm 2013,"302,991","126,278","36,159","35,159","35,159","105,535","207,141","94,874","94,756","112,267","5,569.00","17,782.00",0,11.60,33.91,17.27
Năm 2014,"299,497","113,142","33,844","31,779","31,779","112,326","210,494","70,762","70,762","139,732","4,333.00","14,755.00",6.13,10.61,25.22,15.22
Năm 2015,"323,145","117,534","36,353","34,267","34,267","93,317","179,699","47,693","47,693","132,006","3,618.00","13,939.00",7.02,10.60,25.22,17.56
Năm 2016,"324,649","113,367","38,162","35,700","35,700","107,030","189,427","45,446","45,446","143,981","3,770.00","15,203.00",11.94,11.00,25.87,19.34
Năm 2017,"318,188","108,725","35,739","33,783","33,783","105,038","193,180","47,029","47,029","146,151","3,567.00","15,432.00",9.81,10.62,23.29,17.66
Năm 2018,"279,136","100,234","34,524","32,093","32,093","96,411","178,564","35,924","35,924","142,640","3,074.00","12,552.00",6.67,11.50,22.23,17.27
Năm 2019,"354,077","96,502","33,217","30,472","30,472","200,152","280,065","138,123","138,123","141,942","2,681.00","12,490.00",8.09,8.61,21.42,13.29
Năm 2020,"495,023","113,858","40,196","34,987","34,987","179,257","278,722","127,320","127,320","151,402","3,079.00","13,323.00",7.15,7.07,23.85,12.52
Năm 2021,"545,178","122,897","49,188","43,074","43,074","185,677","278,604","116,766","116,766","161,838","3,790.00","14,241.00",8.13,7.90,27.50,15.46
Năm 2022,"583,420","127,822","57,128","45,009","45,009","257,508","353,093","179,207","179,207","173,886","3,961.00","15,301.00",7.12,7.71,26.81,14.25
Năm 2023,"514,811","106,808","50,230","39,459","39,459","264,563","366,243","185,255","185,255","180,988","3,472.00","15,926.00",8.12,7.66,22.24,10.97
Năm 2024,"500,961","108,796","46,006","36,001","36,001","266,707","389,453","198,793","198,793","190,660","3,168.00","16,777.00",11.02,7.19,19.37,9.53
