,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2008,0,0,25,281,281,"4,076","4,813","2,554","2,554","2,259",683.00,"5,501.00",0,0,24.84,11.66
Năm 2009,"19,919","6,200","5,133","3,154","3,154","5,684","16,331","5,155","5,155","11,175","3,154.00","11,175.00",0,15.83,46.95,29.83
Năm 2010,"24,816","8,224","6,781","5,131","5,131","16,307","39,956","23,649","23,649","16,306","5,131.00","16,306.00",6.04,20.68,37.34,18.23
Năm 2011,"11,833","1,540",259,195,195,"14,419","51,152","12,050","6,378","39,101",75.00,"12,031.00",424.32,1.65,0.70,0.43
Năm 2012,"5,530","1,692",397,298,298,"17,367","52,120","12,721","11,903","39,399",92.00,"12,123.00",67.64,5.39,0.76,0.58
Năm 2013,880,146,"-1,252","-14,555","-14,555","10,898","30,864","6,019","6,019","24,845","-4,478.00","7,645.00",-0.58,"-1,653.76",-45.31,-35.08
Năm 2014,,519,"-2,550","-2,400","-2,400","5,225","27,220","4,775","4,775","22,445",-738.00,"6,906.00",-4.06,0,-10.15,-8.26
Năm 2015,,,316,332,332,"3,780","25,986","3,208","3,208","22,778",102.00,"7,008.00",22.48,0,1.47,1.25
Năm 2016,"11,264",952,-204,-247,-247,"28,779","62,458","40,591","40,591","21,867",-76.00,"6,728.00",-36.73,-2.19,-1.11,-0.56
Năm 2017,"82,354","4,510","3,909","3,860","3,860","87,075","120,806","45,080","45,053","75,726","1,159.00","9,179.00",6.47,4.69,7.91,4.21
Năm 2018,"24,057",490,"3,018","3,043","3,043","71,703","76,636",45,45,"76,591",369.00,"9,284.00",47.99,12.65,4.00,3.08
Năm 2019,"211,655","54,929","47,108","46,793","46,793","152,735","155,491","14,487","1,445","141,004","5,672.00","17,091.00",2.06,22.11,43.01,40.32
Năm 2020,"60,110","31,897","22,493","30,167","30,077","151,744","161,932","7,172","4,047","154,760","3,589.00","13,399.00",3.01,50.19,20.34,18.95
Năm 2021,"76,897","29,797","23,735","22,729","21,558","262,026","292,275","6,708","6,708","285,567","1,100.00","14,423.00",11.09,29.56,9.79,9.49
Năm 2022,"107,929","18,991","8,359","6,947","6,991","355,403","401,146","8,679","8,504","392,467",297.00,"13,214.00",10.12,6.44,2.06,2.02
Năm 2023,"106,358","21,142","11,488","10,980","10,877","451,306","479,013","73,874","73,853","405,139",366.00,"13,641.00",9.01,10.32,2.73,2.47
Năm 2024,"95,730","13,253","3,316","2,823","2,831","76,613","477,219","67,980","55,033","409,238",96.00,"13,779.00",19.93,2.95,0.70,0.59
