,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số
Năm 2007,"129,311","45,209","9,538","9,630","9,630","82,014","122,270","84,041","77,791","38,230","2,874.00","11,412.00",,7.45,50.38,15.75,0
Năm 2008,"147,877","54,400","10,976","11,196","11,196","103,984","144,189","49,935","44,870","94,255","2,239.00","18,851.00",,7.57,16.90,8.40,
Năm 2009,"168,074","74,704","21,905","19,199","19,224","138,189","179,088","67,260","56,422","103,033","3,845.00","20,607.00",,11.42,19.49,11.89,"8,795"
Năm 2010,"204,582","91,359","27,046","21,911","21,911","173,401","264,685","121,760","81,421","142,925","3,534.00","23,052.00",,10.71,17.82,9.87,0
Năm 2011,"255,698","106,391","21,572","13,577","13,577","168,374","309,163","165,638","143,199","143,525","2,190.00","23,149.00",,5.31,9.48,4.73,
Năm 2012,"283,958","127,281","30,582","26,424","26,424","184,115","318,196","168,475","156,398","149,722","4,262.00","24,149.00",,9.31,18.02,8.42,
Năm 2013,"316,407","145,568","40,477","30,221","30,221","224,673","350,420","186,501","181,512","163,919","4,874.00","26,342.00",,9.55,19.27,9.04,
Năm 2014,"349,692","160,601","46,168","35,362","35,362","271,923","394,966","214,266","212,322","180,701","5,704.00","29,194.00",,10.11,20.52,9.49,
Năm 2015,"370,386","171,613","54,976","44,023","44,023","322,010","471,901","214,283","212,513","257,618","4,508.00","26,314.00",,11.89,20.09,10.16,
Năm 2016,"490,153","225,470","74,886","62,502","62,502","453,539","634,118","341,154","314,866","292,964","6,401.00","29,898.00",,12.75,22.70,11.30,
Năm 2017,"467,347","227,508","82,627","66,401","66,401","483,758","688,723","290,787","273,539","397,936","5,100.00","30,515.00",,14.21,19.22,10.04,
Năm 2018,"411,986","208,739","61,265","48,007","48,007","539,369","816,880","397,587","238,319","419,293","3,687.00","32,071.00",,11.65,11.75,6.38,
Năm 2019,"501,861","208,225","40,437","29,417","29,417","498,483","784,735","348,262","330,970","436,473","2,157.00","31,980.00",,5.86,6.88,3.67,
Năm 2020,"390,714","173,599","40,179","31,392","31,392","453,084","721,911","124,221","124,221","597,690","1,485.00","28,262.00",,8.03,6.07,4.17,
Năm 2021,"452,438","191,503","71,828","56,721","56,721","625,625","886,481","260,126","260,126","626,355","2,707.00","29,885.00",19.02,12.54,9.27,7.05,
Năm 2022,"555,754","270,808","67,501","49,313","49,313","553,297","1,074,248","424,873","232,430","649,375","2,356.00","31,026.00",12.61,8.87,7.73,5.03,
Năm 2023,"576,138","261,804","95,180","76,565","76,565","551,460","1,294,615","584,387","379,142","710,228","3,676.00","33,914.00",7.89,13.29,11.26,6.46,
Năm 2024,"564,732","293,217","98,081","69,998","69,998","567,184","1,596,131","831,061","400,253","765,070","3,343.00","36,533.00",9.27,12.39,9.49,4.84,
