,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,ROS,ROEA,ROAA,P/E cơ bản
Năm 2008,"150,218","40,234","20,290","15,714","15,714","52,152","157,039","59,690","58,721","97,350","1,871.00","11,589.00",10.46,32.28,20.01,
Năm 2009,"200,844","69,346","34,167","29,838","29,838","89,063","193,530","88,808","71,227","104,722","3,552.00","12,467.00",14.86,29.53,17.02,
Năm 2010,"214,916","67,926","34,096","27,805","27,805","105,983","208,815","53,139","46,964","155,675","2,648.00","14,826.00",12.94,21.36,13.82,
Năm 2011,"292,233","104,785","46,801","40,279","40,279","152,675","250,496","58,466","49,154","192,030","3,836.00","18,289.00",13.78,23.17,17.54,
Năm 2012,"1,162,695","223,730","30,111","24,757","24,757","463,528","733,948","465,321","437,447","268,627","4,973.00","53,963.00",2.13,10.75,5.03,
Năm 2013,"1,296,169","291,759","40,288","24,791","24,791","515,426","788,442","520,444","500,980","267,998","4,980.00","53,836.00",1.91,9.24,3.26,
Năm 2014,"1,142,050","219,928","56,793","45,391","45,391","492,866","796,367","486,898","477,723","309,469","1,690.00","11,520.00",3.97,15.72,5.73,
Năm 2015,"1,225,068","451,991","129,776","214,766","214,766","772,566","1,067,933","513,789","482,089","554,145","5,123.00","13,220.00",17.53,49.74,23.04,
Năm 2016,"1,384,902","509,199","175,844","141,492","141,492","1,023,140","1,434,260","661,231","612,156","773,029","2,701.00","14,179.00",10.22,21.32,11.31,
Năm 2017,"1,388,227","490,672","202,930","164,391","164,391","1,115,418","1,544,190","711,180","655,811","833,010","3,138.00","15,397.00",11.84,20.47,11.04,17.49
Năm 2018,"1,401,024","428,128","201,011","163,005","163,005","1,021,237","1,434,341","543,687","497,320","890,654","3,112.00","16,573.00",11.63,18.91,10.95,12.79
Năm 2019,"1,261,729","414,796","173,817","142,227","142,227","1,028,808","1,620,553","688,045","580,312","932,508","2,715.00","17,443.00",11.27,15.60,9.31,20.18
Năm 2020,"1,256,952","491,139","190,448","157,860","157,860","835,846","1,437,409","448,784","347,872","988,626","3,014.00","18,563.00",12.56,16.43,10.32,16.23
Năm 2021,"1,558,504","622,566","230,885","189,124","189,124","948,197","1,559,518","418,969","286,966","1,140,549","3,440.00","19,657.00",12.13,17.76,12.62,15.09
Năm 2022,"1,554,821","767,652","298,674","243,555","243,555","1,247,789","1,895,717","540,580","405,457","1,355,137","3,642.00","18,024.00",15.66,19.52,14.10,10.83
Năm 2023,"1,651,770","798,520","322,034","269,055","269,055","1,260,686","1,988,909","556,068","417,989","1,432,842","3,595.00","19,087.00",16.29,19.30,13.85,15.08
Năm 2024,"1,727,548","832,573","329,086","275,182","275,182","1,476,281","2,264,207","603,066","460,155","1,661,141","3,245.00","17,730.00",15.93,17.79,12.94,17.75
