,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2007,"245,841","33,868","5,145","4,073","4,073","66,077","73,449","53,871","52,963","19,578","3,776.00","18,151.00",0,1.66,41.60,11.09
Năm 2008,"291,447","36,824","5,746","4,866","4,866","67,694","74,893","52,324","51,833","22,569","4,511.00","20,923.00",0,1.67,23.09,6.56
Năm 2009,"273,176","36,891","8,732","6,956","6,956","75,042","82,369","55,028","54,788","27,341","5,374.00","21,123.00",0,2.55,27.88,8.85
Năm 2010,"228,315","35,623","6,828","4,835","4,835","66,479","74,669","43,425","43,184","31,244","3,736.00","24,138.00",7.98,2.12,16.51,6.16
Năm 2011,"268,889","38,275","7,693","5,531","5,531","76,381","84,906","52,615","49,076","32,291","4,273.00","24,946.00",3.02,2.06,17.41,6.93
Năm 2012,"303,057","45,883","10,626","7,958","7,958","78,730","86,833","50,417","49,863","36,416","6,148.00","28,133.00",2.67,2.63,23.17,9.27
Năm 2013,"316,936","49,729","11,863","8,665","8,665","77,060","84,031","43,822","42,808","40,210","6,694.00","31,065.00",5.08,2.73,22.62,10.14
Năm 2014,"361,850","54,081","12,259","9,838","9,838","83,068","89,528","44,857","44,857","44,671","6,196.00","23,008.00",4.67,2.72,23.18,11.34
Năm 2015,"295,937","35,498","8,095","6,603","6,603","87,239","95,533","49,051","49,051","46,482","3,401.00","23,940.00",7.64,2.23,14.49,7.14
Năm 2016,"272,488","34,685","7,501","6,401","6,401","78,943","86,225","34,521","34,521","51,703","3,297.00","26,630.00",7.28,2.35,13.04,7.04
Năm 2017,"271,495","31,392","7,033","6,832","6,832","96,696","102,983","48,037","48,037","54,946","3,519.00","28,300.00",6.39,2.52,12.81,7.22
Năm 2018,"260,880","30,664","7,339","6,514","6,514","89,774","95,482","40,122","40,122","55,360","3,355.00","28,513.00",6.44,2.50,11.81,6.56
Năm 2019,"265,508","31,595","7,119","7,050","7,050","91,051","96,163","37,959","37,959","58,204","3,631.00","29,977.00",7.46,2.66,12.42,7.36
Năm 2020,"248,510","31,313","7,002","6,717","6,717","93,155","97,748","37,201","37,201","60,548","3,460.00","31,185.00",9.13,2.70,11.31,6.93
Năm 2021,"294,174","39,054","8,467","7,726","7,726","94,074","98,805","32,374","32,374","66,431","3,979.00","34,215.00",8.42,2.63,12.17,7.86
Năm 2022,"257,764","28,318","6,350","6,318","6,318","105,156","109,148","40,999","40,999","68,149","3,254.00","35,100.00",10.76,2.45,9.39,6.08
Năm 2023,"236,358","23,525","5,862","5,619","5,619","101,488","106,012","36,745","36,745","69,267","2,894.00","35,675.00",10.99,2.38,8.18,5.22
Năm 2024,"213,047","19,827","2,640","2,795","2,795","96,169","100,672","33,011","33,011","67,661","1,439.00","34,848.00",19.80,1.31,4.08,2.70
