,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số
Năm 2006,"262,617","36,106","3,447","5,942","5,906","120,827","163,125","132,352","114,358","25,009","3,365.00","14,222.00",0,2.26,47.23,7.24,"5,764"
Năm 2007,"306,153","56,485","2,137","9,450","9,268","153,529","195,132","121,657","111,826","67,581","3,089.00","22,510.00",0,3.09,20.02,5.17,"5,894"
Năm 2008,"346,276","75,293","6,855","10,843","10,365","188,451","229,144","188,176","147,852","67,583","3,455.00","22,511.00",0,3.13,15.34,4.89,"9,385"
Năm 2009,"423,337","85,761","1,764","7,179","6,370","225,746","264,876","186,194","182,508","69,621","2,123.00","23,190.00",14.84,1.70,9.29,2.58,"9,061"
Năm 2010,"490,526","104,120","6,132","12,582","11,413","212,652","256,341","172,323","167,681","74,250","3,822.00","25,165.00",6.41,2.57,15.87,4.38,"9,768"
Năm 2011,"547,889","111,608","5,652","13,227","11,540","246,955","292,490","205,287","201,474","78,221","3,914.00","26,512.00",4.22,2.41,15.14,4.21,"8,982"
Năm 2012,"583,409","120,460","3,673","13,325","11,636","287,686","342,350","248,604","244,047","83,555","3,946.00","28,321.00",4.51,2.28,14.39,3.67,"10,191"
Năm 2013,"530,370","104,434","4,011","11,033","11,033","225,382","276,375","190,656","188,397","85,718","3,742.00","29,055.00",6.90,2.08,13.04,3.57,
Năm 2014,"523,255","119,177","9,635","11,368","11,368","264,997","316,331","223,558","222,927","92,774","2,768.00","13,246.00",7.75,2.17,12.74,3.84,
Năm 2015,"552,116","126,481","21,613","22,203","22,203","356,030","450,293","336,452","336,342","113,840","3,167.00","14,778.00",6.47,4.02,21.49,5.79,
Năm 2016,"580,517","140,603","26,965","24,017","23,662","384,294","531,854","372,590","372,418","159,264","3,073.00","20,678.00",5.12,4.14,17.33,4.82,
Năm 2017,"800,114","185,890","16,919","28,246","28,737","449,493","617,043","366,719","366,620","250,323","2,451.00","20,323.00",6.53,3.53,14.03,5.00,
Năm 2018,"776,298","179,727","17,891","21,180","19,664","443,922","617,395","377,592","377,218","239,804","1,597.00","19,469.00",7.58,2.73,8.02,3.19,
Năm 2019,"786,282","187,245","28,898","25,640","22,244","543,581","713,984","476,120","466,570","237,864","1,740.00","17,578.00",6.84,3.26,9.31,3.34,
Năm 2020,"836,410","211,676","18,276","14,263","11,305","701,638","897,606","650,381","628,418","247,225",836.00,"18,270.00",16.28,1.71,4.66,1.40,
Năm 2021,"612,049","184,833","17,273","12,745","13,624","613,423","786,992","587,435","568,541","199,557",961.00,"14,045.00",16.55,2.08,6.10,1.62,
Năm 2022,"754,618","251,169","19,211","40,500","37,991","661,296","840,720","616,427","600,018","224,293","2,674.00","15,786.00",4.21,5.37,17.93,4.67,
Năm 2023,"811,616","309,616","22,933","17,466","16,195","688,912","855,608","607,723","596,352","247,885","1,027.00","15,181.00",11.88,2.15,6.86,1.91,
Năm 2024,"868,411","346,103","16,898","12,253","14,581","742,335","993,757","709,724","675,728","284,033",834.00,"13,832.00",14.64,1.41,5.48,1.58,
