,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số
Năm 2006,"348,435","52,572","12,208","10,487","10,479","130,946","268,722","199,704","180,393","68,777","1,871.00","12,282.00",0,3.01,30.47,7.80,241
Năm 2007,"356,733","88,053","46,067","40,707","40,773","257,957","399,617","160,079","124,061","239,248","5,034.00","29,537.00",0,11.41,26.47,12.20,290
Năm 2008,"474,909","123,811","50,552","46,098","46,114","314,075","551,411","281,752","173,705","270,190","5,045.00","27,809.00",6.24,9.71,18.10,9.70,-531
Năm 2009,"573,649","137,531","61,383","56,438","56,472","375,385","640,720","351,114","252,029","289,477","5,812.00","29,794.00",10.15,9.84,20.18,9.47,128
Năm 2010,"557,602","147,470","11,846","11,700","11,742","528,690","792,156","512,292","451,523","279,779","1,196.00","28,221.00",29.26,2.10,4.13,1.64,86
Năm 2011,"630,014","163,670","-32,006","-30,822","-30,788","591,685","841,771","612,255","581,639","229,465","-3,106.00","23,146.00",-5.02,-4.89,-12.09,-3.77,52
Năm 2012,"611,829","170,924","19,884","19,061","19,157","436,648","665,899","416,217","398,313","249,682","1,932.00","25,186.00",5.18,3.12,8.00,2.54,
Năm 2013,"674,570","213,479","38,212","30,292","30,292","395,676","611,669","331,695","328,508","279,974","3,056.00","28,241.00",7.76,4.49,11.44,4.74,
Năm 2014,"709,565","239,826","39,416","31,700","31,700","394,441","593,354","287,730","282,837","305,623","3,198.00","30,828.00",15.64,4.47,10.83,5.26,
Năm 2015,"669,565","205,528","78,049","60,620","60,620","586,159","780,624","213,125","206,412","567,498","4,830.00","28,207.00",5.18,9.05,13.89,8.82,
Năm 2016,"737,806","239,555","112,614","90,149","90,149","646,647","845,392","188,745","185,408","656,647","2,327.00","11,657.00",10.10,12.22,14.73,11.09,
Năm 2017,"765,342","250,446","88,322","74,877","74,304","734,844","1,221,156","429,387","268,554","791,769","1,317.00","13,932.00",17.46,9.78,10.26,7.19,
Năm 2018,"804,180","208,360","20,315","12,698","12,535","1,246,520","1,730,929","925,802","341,615","805,127",221.00,"14,167.00",42.39,1.58,1.57,0.85,
Năm 2019,"752,014","187,194","103,757","87,004","88,474","1,376,618","1,712,471","828,049","326,647","884,422","1,557.00","15,562.00",17.99,11.57,10.47,5.14,
Năm 2020,"671,246","187,637","85,301","68,928","66,391","1,442,218","1,800,407","829,411","343,581","970,995","1,168.00","17,085.00",21.57,10.27,7.16,3.78,
Năm 2021,"703,634","210,152","109,888","87,756","85,961","1,261,155","1,781,028","759,358","652,797","1,021,670","1,495.00","17,366.00",26.62,12.47,8.63,4.80,
Năm 2022,"1,015,686","282,100","141,447","112,914","111,641","1,422,245","2,105,323","713,666","554,068","1,391,657","1,588.00","19,053.00",15.43,11.12,9.25,5.75,
Năm 2023,"1,143,946","209,914","77,158","62,134","61,717","1,403,124","2,277,460","826,668","618,075","1,450,792",845.00,"19,863.00",29.59,5.43,4.34,2.82,
Năm 2024,"1,306,797","204,704","68,767","54,145","53,571","1,432,009","2,424,146","920,953","654,984","1,503,193",733.00,"20,580.00",36.47,4.14,3.63,2.28,
