,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2007,"553,416","29,486","1,337","3,402","3,402","217,645","227,721","178,845","178,373","48,876","1,215.00","17,456.00",0,0.61,13.92,2.99
Năm 2008,"829,166","45,526","6,676","5,505","5,505","287,843","300,815","248,244","247,494","52,571","1,966.00","18,775.00",0,0.66,10.85,2.08
Năm 2009,"1,185,490","82,462","6,510","9,104","9,104","331,830","356,134","303,129","297,720","53,005","3,251.00","18,930.00",0,0.77,17.25,2.77
Năm 2010,"1,549,981","100,917","7,727","9,157","9,157","433,048","456,229","397,599","392,923","58,630","3,270.00","20,939.00",7.31,0.59,16.41,2.25
Năm 2011,"1,931,770","105,170","-3,778","10,086","10,086","629,179","652,888","585,651","581,698","67,237","3,602.00","24,013.00",7.22,0.52,16.03,1.82
Năm 2012,"2,085,007","97,496","12,618","11,408","11,408","727,452","762,311","690,314","689,225","71,996","4,074.00","25,713.00",2.87,0.55,16.39,1.61
Năm 2013,"2,031,302","100,316","14,566","12,628","12,628","804,030","838,980","760,525","760,525","78,454","4,510.00","28,019.00",5.63,0.62,16.79,1.58
Năm 2014,"1,983,593","92,158","19,612","15,796","15,796","845,063","880,262","786,643","786,643","93,619","4,749.00","18,575.00",3.81,0.80,18.36,1.84
Năm 2015,"1,832,417","89,649","18,250","16,072","16,072","880,034","915,460","815,630","815,630","99,830","3,189.00","19,807.00",8.15,0.88,16.62,1.79
Năm 2016,"1,802,135","88,227","15,352","17,082","17,082","867,151","906,387","802,964","802,964","103,423","3,389.00","20,520.00",5.05,0.95,16.81,1.88
Năm 2017,"1,806,278","88,009","18,385","17,658","17,658","830,435","866,658","722,399","722,399","144,260","2,208.00","16,405.00",6.34,0.98,14.26,1.99
Năm 2018,"1,595,256","83,563","18,323","15,868","15,868","839,315","876,725","717,478","717,478","159,247","1,686.00","15,747.00",6.35,0.99,10.46,1.82
Năm 2019,"1,790,569","80,257","20,821","17,408","17,408","888,582","940,684","764,029","763,976","176,654","1,597.00","14,558.00",5.95,0.97,10.36,1.92
Năm 2020,"1,554,801","70,667","18,473","15,590","15,590","613,000","665,521","487,838","487,784","177,683","1,285.00","14,643.00",8.87,1.00,8.80,1.94
Năm 2021,"1,546,299","72,476","17,283","14,916","14,916","480,339","532,915","340,316","338,186","192,599","1,210.00","13,802.00",16.69,0.96,8.06,2.49
Năm 2022,"1,184,095","82,004","14,376","12,267","12,267","592,584","678,625","473,759","471,650","204,866",835.00,"13,347.00",10.90,1.04,6.17,2.03
Năm 2023,"943,404","63,906",975,"1,111","1,111","641,076","727,180","531,042","528,125","196,138",72.00,"12,778.00",111.89,0.12,0.55,0.16
Năm 2024,"1,392,659","89,999","2,709","7,624","7,624","1,080,166","1,172,762","969,000","966,518","203,762",497.00,"13,275.00",15.70,0.55,3.81,0.80
