,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2007,"276,771","27,771","2,811","2,212","2,212","85,119","98,383","82,394","75,415","15,989","2,156.00","15,584.00",,0.80,27.67,4.50
Năm 2008,"346,594","41,488","5,302","4,187","4,187","110,815","124,927","104,897","90,225","20,030","4,081.00","19,523.00",,1.21,23.25,3.75
Năm 2009,"438,863","52,591","5,684","4,719","4,719","130,326","150,952","132,425","119,284","18,527","4,599.00","18,057.00",,1.08,24.48,3.42
Năm 2010,"503,728","62,800","13,328","10,417","10,417","169,185","186,434","112,078","101,356","74,356","3,472.00","24,785.00",,2.07,22.43,6.18
Năm 2011,"672,972","83,222","20,232","17,670","17,670","183,639","217,170","135,143","119,298","82,027","5,890.00","27,342.00",,2.63,22.60,8.76
Năm 2012,"684,429","101,845","24,795","20,792","20,792","235,635","268,409","177,955","169,488","90,453","6,931.00","30,151.00",,3.04,24.11,8.56
Năm 2013,"742,086","127,049","37,549","27,962","27,962","215,984","245,991","145,998","136,317","99,993","9,321.00","33,331.00",,3.77,29.36,10.87
Năm 2015,"741,012","152,136","58,557","45,957","45,957","297,796","345,363","181,357","178,847","164,006","15,319.00","54,669.00",,6.20,56.04,26.61
Năm 2016,"765,444","163,551","51,286","41,509","41,509","336,318","405,397","200,932","198,432","204,465","6,918.00","34,077.00",,5.42,22.53,11.06
Năm 2017,"858,683","179,837","61,064","49,238","49,238","437,243","550,636","297,462","215,790","253,173","8,206.00","42,196.00",3.95,5.73,21.52,10.30
Năm 2018,"741,071","152,142","40,855","33,285","33,285","437,256","646,800","365,071","236,493","281,730","5,548.00","46,955.00",6.85,4.49,12.45,5.56
Năm 2019,"662,245","156,156","32,590","26,516","26,516","287,080","623,327","299,659","191,487","323,669","4,138.00","40,459.00",7.13,4.00,8.76,4.18
Năm 2020,"640,695","168,949","35,641","28,573","28,573","248,047","592,461","244,460","167,333","348,001","3,067.00","34,800.00",8.97,4.46,8.51,4.70
Năm 2021,"620,188","167,833","34,442","29,622","29,622","234,039","562,360","191,059","188,102","371,301","2,687.00","30,942.00",9.49,4.78,8.24,5.13
Năm 2022,"615,835","172,929","36,508","30,008","30,008","264,050","577,137","182,210","179,879","394,927","2,501.00","32,911.00",8.40,4.87,7.83,5.27
Năm 2023,"614,743","188,054","38,636","31,514","31,514","266,605","578,986","158,851","156,620","420,135","1,801.00","20,595.00",13.71,5.13,7.73,5.45
Năm 2024,"665,002","210,231","48,645","40,609","40,609","341,149","646,386","192,127","186,109","454,259","1,752.00","16,254.00",16.04,6.11,9.29,6.63
