,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số
Năm 2005,"554,031","254,627","54,500","55,379","55,379","227,761","292,257","161,604","130,327","130,653","6,922.00","16,332.00",0,10.00,84.77,37.90,0
Năm 2006,"868,192","465,445","86,911","87,060","87,060","329,550","482,847","321,541","300,263","161,306","10,882.00","20,163.00",22.51,10.03,59.64,22.46,0
Năm 2007,"1,269,280","668,502","127,858","128,312","128,312","673,787","942,209","306,460","305,647","635,748","14,043.00","31,787.00",16.66,10.11,32.20,18.01,0
Năm 2008,"1,485,464","791,019","149,430","129,995","128,862","783,527","1,081,782","377,458","362,265","701,139","6,444.00","35,068.00",18.47,8.75,19.28,12.73,"3,185"
Năm 2009,"1,746,022","923,576","408,040","362,340","357,071","1,212,468","1,521,973","503,816","489,574","1,010,376","17,045.00","37,907.00",6.69,20.75,41.73,27.43,"7,781"
Năm 2010,"2,034,525","1,018,532","437,117","383,335","383,335","1,442,034","1,819,735","530,697","471,556","1,280,322","14,342.00","47,591.00",8.37,18.84,33.47,22.94,"8,716"
Năm 2011,"2,490,880","1,208,763","506,424","419,762","415,527","1,490,692","1,995,707","602,248","544,024","1,381,547","9,666.00","21,200.00",5.79,16.85,31.22,21.78,"11,911"
Năm 2012,"2,931,076","1,443,799","553,694","491,293","485,922","1,817,660","2,378,265","674,795","653,532","1,687,719","7,445.00","25,819.00",9.81,16.76,31.66,22.22,"15,750"
Năm 2013,"3,527,357","1,640,474","631,127","593,252","588,960","2,232,558","3,080,620","1,081,177","1,030,242","1,981,365","9,010.00","30,312.00",12.65,16.82,32.10,21.58,"18,077"
Năm 2014,"3,912,518","2,130,521","688,957","533,772","533,273","2,386,250","3,482,718","1,189,093","1,119,689","2,276,795","6,941.00","26,124.00",13.85,13.64,25.05,16.25,"16,830"
Năm 2015,"3,607,760","1,412,868","636,890","592,685","588,701","2,221,373","3,363,199","841,963","779,632","2,521,236","6,762.00","28,999.00",9.84,16.43,24.54,17.20,
Năm 2016,"3,783,045","1,712,986","756,903","713,097","710,101","2,747,174","3,945,744","1,051,505","993,904","2,894,239","8,161.00","33,204.00",12.01,18.85,26.22,19.43,
Năm 2017,"4,062,753","1,783,116","722,533","642,389","642,408","2,939,185","4,087,480","1,328,386","1,264,937","2,759,094","5,822.00","21,103.00",19.75,15.81,22.73,15.99,
Năm 2018,"3,882,128","1,716,723","717,845","651,089","653,029","3,147,636","4,205,964","1,061,702","1,001,488","3,144,262","4,995.00","24,049.00",15.82,16.77,22.12,15.75,
Năm 2019,"3,896,754","1,712,292","714,933","631,263","635,388","3,133,924","4,146,819","769,267","704,899","3,377,551","4,860.00","25,833.00",18.83,16.20,19.49,15.21,
Năm 2020,"3,755,619","1,811,376","829,965","738,534","739,875","3,480,800","4,447,503","879,464","816,433","3,568,039","5,659.00","27,290.00",18.38,19.66,21.30,17.22,
Năm 2021,"4,003,170","1,920,911","884,532","776,285","777,220","3,727,293","4,617,666","824,523","757,716","3,793,144","5,945.00","29,012.00",19.01,19.39,21.09,17.15,
Năm 2022,"4,676,016","2,257,495","1,112,058","988,455","988,455","4,218,772","5,168,187","876,650","811,537","4,291,537","7,560.00","32,823.00",11.23,21.14,24.45,20.20,
Năm 2023,"5,015,395","2,343,545","1,179,263","1,050,663","1,050,663","4,642,193","6,110,474","1,257,540","1,189,242","4,852,935","8,036.00","37,117.00",12.94,20.95,22.98,18.63,
Năm 2024,"4,884,868","2,137,766","978,656","778,920","778,920","4,604,004","5,959,243","1,864,488","1,790,293","4,094,755","5,958.00","31,318.00",17.44,15.95,17.41,12.91,
