,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2007,"41,104","9,013","1,945","1,789","1,789","25,539","62,354","40,254","28,495","22,099",889.00,"10,979.00",,4.35,16.19,5.74
Năm 2008,"45,333","9,526","3,489","12,515","12,515","75,291","114,398","81,879","81,737","32,518","5,988.00","15,560.00",,27.61,45.83,14.16
Năm 2014,"61,003","17,125","6,730","6,257","6,257","53,361","86,366","18,954","18,954","67,411",995.00,"10,716.00",,10.26,18.56,14.49
Năm 2015,"67,431","18,646","7,272","6,748","6,748","47,952","79,102","11,109","11,109","67,993","1,073.00","10,808.00",,10.01,9.97,8.16
Năm 2016,"68,889","22,223","7,930","7,879","7,879","51,719","83,561","14,458","14,458","69,103","1,252.00","10,985.00",,11.44,11.49,9.69
Năm 2017,"71,057","21,468","8,000","7,405","7,405","55,056","86,606","16,889","16,889","69,717","1,177.00","11,082.00",0,10.42,10.67,8.70
Năm 2018,"71,898","24,016","8,526","7,479","7,479","65,622","100,199","26,288","26,288","73,911","1,189.00","11,749.00",8.92,10.40,10.41,8.01
Năm 2019,"69,280","20,310","8,687","7,889","7,889","76,618","107,089","35,096","35,096","71,993","1,254.00","11,444.00",8.37,11.39,10.81,7.61
Năm 2020,"74,669","26,426","11,516","8,397","8,397","63,183","89,493","16,024","16,024","73,470","1,336.00","11,679.00",7.48,11.25,11.54,8.54
Năm 2021,"80,516","28,791","14,334","11,208","11,208","69,348","93,015","16,186","16,186","76,829","1,782.00","12,213.00",18.86,13.92,14.91,12.28
Năm 2022,"88,835","31,907","16,556","12,886","12,886","65,281","88,023","7,215","7,215","80,808","2,048.00","12,845.00",10.79,14.51,16.35,14.24
Năm 2023,"89,969","33,789","19,667","15,356","15,356","79,366","98,541","15,830","15,830","82,711","2,441.00","13,148.00",8.60,17.07,18.78,16.46
Năm 2024,"85,649","36,382","20,000","16,082","16,082","85,500","104,663","12,834","12,834","91,829","2,556.00","14,597.00",13.34,18.78,18.43,15.83
