,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số
Năm 2003,"447,551","54,242","14,914","10,295","10,295","134,337","176,960","113,320","107,497","63,640","2,084.00","12,884.00",0,2.30,32.35,11.64,
Năm 2005,"568,187","107,265","44,953","36,185","36,185","194,275","266,645","111,185","104,880","155,461","4,523.00","19,433.00",0,6.37,46.55,27.14,
Năm 2006,"659,254","133,137","53,041","48,597","48,597","271,627","380,219","159,877","155,981","220,342","4,542.00","20,593.00",30.38,7.37,25.86,15.03,
Năm 2007,"811,126","172,739","63,798","64,182","64,182","452,045","602,866","141,549","138,080","461,317","5,224.00","33,502.00",31.20,7.91,18.83,13.06,
Năm 2008,"937,761","260,241","74,280","62,805","62,805","344,665","612,929","141,837","140,197","471,092","4,561.00","34,211.00",11.07,6.70,13.47,10.33,
Năm 2009,"1,067,897","317,602","104,254","76,362","76,362","404,658","709,970","212,717","197,568","497,253","5,089.00","28,408.00",11.78,7.15,15.77,11.54,0
Năm 2010,"1,043,439","315,162","113,292","82,792","82,792","436,618","766,809","220,317","195,047","546,492","4,730.00","31,221.00",6.64,7.93,15.86,11.21,0
Năm 2011,"1,132,056","373,660","117,860","80,103","80,103","503,495","833,996","258,578","244,851","575,418","4,576.00","32,874.00",4.57,7.08,14.28,10.01,0
Năm 2012,"1,260,531","391,640","119,921","90,124","90,235","540,648","848,948","277,826","273,231","570,339","5,067.00","32,025.00",5.72,7.15,15.75,10.72,783
Năm 2013,"1,429,609","412,123","130,375","107,232","107,520","713,042","1,019,773","389,208","386,985","628,504","6,037.00","35,291.00",7.83,7.50,17.94,11.51,"2,062"
Năm 2014,"1,486,060","424,562","160,230","132,322","132,322","637,711","932,300","210,454","209,384","721,846","5,184.00","27,021.00",7.92,8.90,19.60,13.56,
Năm 2015,"1,234,031","409,758","183,664","141,559","141,559","719,994","988,023","194,705","193,728","793,318","5,299.00","29,697.00",7.83,11.47,18.69,14.74,
Năm 2016,"1,289,294","498,709","210,036","168,641","168,641","842,930","1,083,994","200,361","199,686","883,633","5,521.00","25,445.00",12.23,13.08,20.11,16.28,
Năm 2017,"1,339,651","534,783","256,820","207,662","207,662","1,079,211","1,305,473","352,667","351,856","952,806","5,980.00","27,437.00",19.33,15.50,22.62,17.38,
Năm 2018,"1,385,088","488,993","282,473","228,772","228,772","1,231,692","1,465,089","335,549","334,491","1,129,540","6,588.00","32,526.00",11.46,16.52,21.97,16.51,
Năm 2019,"1,468,390","492,734","285,601","232,635","232,635","1,298,542","1,533,053","280,784","279,568","1,252,269","6,699.00","36,060.00",10.75,15.84,19.53,15.52,
Năm 2020,"1,451,954","438,466","221,595","179,535","179,535","1,241,163","1,463,982","148,611","147,650","1,315,372","5,170.00","37,877.00",11.47,12.37,13.98,11.98,
Năm 2021,"1,498,395","401,616","197,964","159,282","159,282","1,421,755","1,621,851","255,820","255,732","1,366,031","4,587.00","39,336.00",11.45,10.63,11.88,10.32,
Năm 2022,"1,592,727","452,889","247,933","200,076","200,076","1,598,608","1,837,977","378,467","378,328","1,459,510","5,761.00","42,028.00",7.13,12.56,14.16,11.57,
Năm 2023,"1,719,032","372,101","222,456","183,333","183,333","1,671,464","1,849,166","328,652","328,271","1,520,513","5,279.00","43,784.00",10.89,10.66,12.30,9.94,
Năm 2024,"1,899,427","417,480","249,587","202,707","202,707","1,527,252","1,840,614","228,046","227,585","1,612,568","5,837.00","46,435.00",11.82,10.67,12.94,10.99,
