,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2006,"91,772","20,985","4,505","4,730","4,730","29,025","38,935","26,103","25,459","12,833","4,836.00","13,121.00",,5.15,73.72,24.30
Năm 2007,"110,230","18,017","5,006","4,883","4,883","41,312","55,844","32,284","30,885","23,560","3,249.00","15,675.00",,4.43,26.84,10.30
Năm 2008,"96,993","19,285","2,009","2,048","2,048","45,520","65,070","25,928","25,823","39,142",849.00,"16,231.00",,2.11,6.53,3.39
Năm 2009,"153,430","33,897","8,872","7,942","7,942","69,539","99,676","54,871","50,103","44,805","3,294.00","18,580.00",0,5.18,18.92,9.64
Năm 2010,"180,797","34,476","7,690","6,138","6,138","88,234","123,335","79,508","75,335","43,828","2,545.00","18,174.00",0,3.39,13.85,5.50
Năm 2011,"215,683","50,353","3,363","2,971","2,971","95,116","140,020","95,910","84,628","44,110","1,232.00","18,292.00",9.42,1.38,6.76,2.26
Năm 2012,"219,576","71,354","16,804","12,857","12,857","105,855","148,698","97,138","90,146","51,560","5,181.00","16,511.00",2.51,5.86,26.88,8.91
Năm 2013,"209,397","68,385","23,258","18,620","18,620","104,032","144,633","84,291","81,491","60,342","6,177.00","19,424.00",4.37,8.89,33.28,12.70
Năm 2014,"219,732","63,633","25,551","20,094","20,094","109,378","146,939","70,092","69,969","76,847","5,939.00","18,003.00",6.19,9.14,29.29,13.78
Năm 2015,"183,116","47,506","18,537","14,800","14,800","99,425","135,769","60,692","60,228","75,077","3,519.00","16,741.00",8.52,8.08,19.48,10.47
Năm 2016,"226,093","49,220","18,290","14,782","14,782","99,474","134,999","59,107","58,759","75,892","3,377.00","16,927.00",9.00,6.54,19.58,10.92
Năm 2017,"171,209","46,731","15,065","10,290","10,290","93,374","133,803","52,822","52,822","80,980","2,351.00","18,090.00",8.51,6.01,13.12,7.66
Năm 2018,"162,935","38,247","5,254","3,925","3,925","108,453","147,207","68,453","66,501","78,753",897.00,"17,581.00",11.82,2.41,4.91,2.79
Năm 2019,"355,857","49,742","11,590","8,629","8,629","165,403","212,025","125,428","122,771","86,598","1,971.00","19,373.00",4.31,2.42,10.44,4.80
Năm 2020,"700,734","152,217","46,326","37,164","37,164","336,508","512,304","390,268","266,358","122,036","8,490.00","27,468.00",4.98,5.30,35.63,10.26
Năm 2021,"546,642","99,240","34,089","26,963","26,963","359,835","519,475","377,908","283,606","141,566","6,159.00","31,930.00",6.95,4.93,20.46,5.23
Năm 2022,"317,900","-15,926","-72,992","-100,187","-100,187","269,867","391,115","347,413","283,489","43,702","-21,200.00","7,978.00",-0.61,-31.52,-108.15,-22.00
Năm 2023,"217,413","4,479","-38,741","-54,399","-54,399","195,153","305,575","300,291","243,831","5,284","-10,356.00",665.00,-1.62,-25.02,-222.10,-15.62
Năm 2024,"196,825","33,351","13,737",-262,-262,"213,697","294,004","289,593","226,047","4,411",-50.00,499.00,-160.16,-0.13,-5.41,-0.09
