,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2015,"77,056",482,"-21,410",23,23,"87,570","438,224","379,436","106,870","58,789",5.00,"11,723.00",0,0.03,0.08,0.01
Năm 2016,"106,392","6,749","-16,012","-7,554","-7,554","104,011","451,017","399,782","117,231","51,234","-1,511.00","10,212.00",0,-7.10,-13.73,-1.70
Năm 2017,"150,292","18,601",-670,14,14,"112,361","572,086","370,934","156,467","201,151",1.00,"10,049.00","16,584.42",0.01,0.01,0
Năm 2018,"149,686","14,214","-12,199","-13,301","-13,301","125,951","543,646","355,796","164,721","187,850",-665.00,"9,384.00",-15.04,-8.89,-6.84,-2.38
Năm 2019,"155,248","10,272","-10,036","-11,388","-11,388","117,519","533,095","356,633","179,957","176,462",-569.00,"8,814.00",-8.78,-7.34,-6.25,-2.12
Năm 2020,"164,736","2,977","-23,671","-24,207","-24,207","131,211","525,849","373,594","211,918","152,255","-1,210.00","7,604.00",-4.96,-14.69,-14.73,-4.57
Năm 2021,"179,999","7,892","-18,492","-17,929","-17,929","111,732","487,818","353,492","206,816","134,327",-896.00,"6,708.00",-7.25,-9.96,-12.51,-3.54
Năm 2022,"188,203","7,299","-21,050","-23,750","-23,750","131,393","486,901","376,325","243,649","110,576","-1,188.00","5,520.00",-5.47,-12.62,-19.40,-4.87
Năm 2023,"193,220","10,296","-23,282","-24,049","-24,049","115,731","451,385","364,858","249,182","86,527","-1,202.00","4,318.00",-3.58,-12.45,-24.40,-5.13
Năm 2024,"200,187","17,750","-6,106","-5,554","-5,554","129,842","442,633","361,660","267,700","80,973",-278.00,"4,040.00",-18.72,-2.77,-6.63,-1.24
