,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2009,"390,049","41,499","12,445","10,778","10,778","146,715","164,790","132,961","110,273","31,829","5,851.00","17,279.00",,2.76,67.72,13.08
Năm 2010,"447,996","48,543","18,644","16,120","16,120","172,422","194,196","149,128","129,463","45,068","8,060.00","22,534.00",,3.60,41.92,8.98
Năm 2011,"448,874","43,244","12,638","9,448","9,448","195,421","227,331","164,920","146,751","62,410","3,149.00","20,803.00",,2.10,17.58,4.48
Năm 2012,"394,672","43,573","11,450","9,285","9,285","195,518","225,401","158,785","143,961","66,616","3,095.00","22,205.00",,2.35,14.39,4.10
Năm 2013,"351,538","43,074","20,060","15,146","15,146","205,090","232,362","154,227","141,739","78,135","5,049.00","26,045.00",,4.31,20.93,6.62
Năm 2014,"271,774","40,530","19,857","15,858","15,858","171,322","198,955","108,171","99,453","90,783","5,286.00","30,261.00",,5.83,18.78,7.35
Năm 2015,"254,069","33,618","12,052","9,387","9,387","139,755","180,514","83,731","76,672","96,784","3,129.00","32,261.00",,3.69,10.01,4.95
Năm 2016,"237,154","34,586","15,717","12,928","12,928","176,096","196,473","89,766","83,310","106,708","4,309.00","35,569.00",,5.45,12.71,6.86
Năm 2017,"232,382","38,372","16,417","13,148","13,148","168,319","193,419","76,561","70,515","116,858","4,383.00","38,953.00",5.25,5.66,11.76,6.74
Năm 2018,"203,075","42,656","20,855","15,773","15,773","169,788","189,734","57,089","51,520","132,645","5,258.00","44,215.00",4.17,7.77,12.64,8.23
Năm 2019,"239,459","44,969","20,275","16,160","16,160","191,078","209,792","65,396","60,184","144,395","5,387.00","48,132.00",4.20,6.75,11.67,8.09
Năm 2020,"202,289","45,991","24,455","19,421","19,421","201,378","216,689","57,368","52,549","159,321","6,474.00","53,107.00",4.25,9.60,12.79,9.11
Năm 2021,"189,113","41,651","22,268","17,691","17,691","192,007","220,085","48,072","43,878","172,014","5,897.00","57,338.00",9.87,9.35,10.68,8.10
Năm 2022,"197,800","47,319","27,531","22,811","22,811","213,242","240,916","50,767","46,526","190,149","7,604.00","63,383.00",4.60,11.53,12.60,9.90
Năm 2023,"187,500","51,321","33,589","25,944","25,944","228,515","261,258","49,488","46,201","211,769","8,648.00","70,590.00",5.00,13.84,12.91,10.33
Năm 2024,"182,363","51,702","30,801","24,569","24,569","247,989","280,943","49,818","46,929","231,125","8,223.00","77,042.00",6.12,13.47,11.09,9.06
