,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2008,"86,752","8,890",180,206,206,"52,615","79,028","57,438","48,948","21,590",104.00,"10,844.00",0,0.24,1.90,0.52
Năm 2009,"94,913","10,690",879,844,844,"52,315","77,745","55,452","48,264","22,292",425.00,"11,198.00",0,0.89,3.85,1.08
Năm 2010,"100,390","14,394","3,106","2,978","2,978","77,163","103,956","79,248","72,214","24,708","1,500.00","12,405.00",7.33,2.97,12.67,3.28
Năm 2011,"113,943","22,520","6,350","5,545","5,545","73,705","99,038","70,887","66,904","28,151","2,793.00","14,139.00",1.07,4.87,20.98,5.46
Năm 2012,"115,971","21,605","3,745","3,007","3,007","72,407","94,650","67,339","65,014","27,310","1,515.00","13,715.00",4.23,2.59,10.84,3.11
Năm 2013,"117,471","21,196","4,259","3,513","3,513","60,090","81,190","52,871","52,088","28,320","1,769.00","14,224.00",4.58,2.99,12.63,4.00
Năm 2014,"249,740","24,012","4,335","3,412","3,412","92,112","112,142","83,553","82,817","28,589","1,718.00","14,359.00",7.62,1.37,11.99,3.53
Năm 2015,"169,150","19,632","4,003","3,478","3,478","55,534","73,877","44,362","42,821","29,514","1,752.00","14,825.00",6.79,2.06,11.97,3.74
Năm 2016,"146,035","19,351","4,140","3,516","3,516","52,940","70,218","40,217","39,923","30,001","1,771.00","15,070.00",6.21,2.41,11.82,4.88
Năm 2017,"161,946","19,186","5,175","4,283","4,283","50,545","67,607","36,631","36,359","30,976","2,157.00","15,562.00",3.62,2.64,14.05,6.22
Năm 2018,"253,240","20,932","5,983","5,045","5,045","75,473","91,735","49,235","48,972","42,500","2,541.00","21,366.00",4.76,1.99,13.73,6.33
Năm 2019,"279,311","20,885","6,938","5,795","5,795","69,372","88,832","44,921","44,748","43,911","2,919.00","22,076.00",5.48,2.07,13.41,6.42
Năm 2020,"328,775","21,134","7,442","6,379","6,379","67,169","84,632","39,456","39,338","45,176","2,479.00","15,032.00",6.78,1.94,14.32,7.35
Năm 2021,"329,878","22,227","8,490","6,764","6,764","77,039","93,310","47,084","46,967","46,227","2,255.00","15,382.00",8.21,2.05,14.80,7.60
Năm 2022,"408,472","31,703","9,767","7,770","7,770","102,748","119,368","69,986","69,869","49,382","2,590.00","16,434.00",6.18,1.90,16.25,7.31
Năm 2023,"322,872","27,274","10,282","8,290","8,290","81,679","95,665","42,952","42,836","52,713","2,763.00","17,544.00",8.21,2.57,16.24,7.71
Năm 2024,"441,545","27,611","11,034","8,885","8,885","106,739","118,932","62,236","62,111","56,697","2,974.00","18,872.00",6.92,2.01,16.24,8.28
