,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2008,"174,357","20,113","3,542","3,195","3,195","55,263","81,897","62,782","60,637","19,115","2,130.00","12,743.00",,1.83,33.43,7.80
Năm 2009,"192,314","23,363","4,357","4,275","4,275","56,886","87,861","66,562","60,034","21,299","2,850.00","14,199.00",,2.22,21.16,5.04
Năm 2010,"204,656","25,949","4,254","4,451","4,451","62,773","91,206","66,259","61,191","24,947","2,967.00","16,631.00",,2.17,19.25,4.97
Năm 2011,"212,799","29,958","4,435","4,724","4,724","70,503","97,278","69,952","66,243","27,326","3,149.00","18,217.00",,2.22,18.07,5.01
Năm 2012,"219,480","32,884","4,972","4,986","4,986","84,136","112,256","85,205","83,377","27,050","3,324.00","18,034.00",,2.27,18.34,4.76
Năm 2013,"259,974","38,629","5,309","4,755","4,755","103,117","133,530","102,559","95,933","30,971","3,170.00","20,647.00",,1.83,16.39,3.87
Năm 2014,"330,622","45,838","5,905","5,019","5,019","136,968","172,004","142,059","134,789","29,945","3,346.00","19,963.00",,1.52,16.48,3.29
Năm 2015,"303,767","49,459","6,620","5,713","5,713","130,331","178,021","130,124","124,888","47,897","2,457.00","20,601.00",,1.88,14.68,3.26
Năm 2016,"328,651","72,904","9,970","8,647","8,647","142,361","195,797","128,939","112,748","66,858","2,545.00","19,674.00",,2.63,15.07,4.63
Năm 2017,"303,399","85,836","12,613","10,602","10,602","159,895","276,730","208,007","155,203","68,723","3,120.00","20,223.00",7.85,3.49,15.64,4.49
Năm 2018,"278,054","68,352","12,191","12,239","12,239","141,447","264,216","147,366","105,238","116,850","2,395.00","21,646.00",7.96,4.40,13.19,4.52
Năm 2019,"291,925","59,117","7,031","6,514","6,514","158,351","278,484","155,829","121,756","122,655","1,141.00","19,383.00",16.57,2.23,5.44,2.40
Năm 2020,"244,747","46,472","2,694","4,803","4,803","144,092","258,721","138,307","121,493","120,414",760.00,"19,063.00",11.70,1.96,3.95,1.79
Năm 2021,"203,146","37,489","1,656",921,921,"130,786","234,958","117,411","113,731","117,547",146.00,"18,529.00",109.78,0.45,0.77,0.37
Năm 2022,"297,109","69,229","20,574","18,154","18,154","162,679","262,913","127,371","124,598","135,542","2,874.00","21,460.00",8.18,6.11,14.35,7.29
Năm 2023,"372,579","87,654","37,036","30,640","30,640","199,121","306,582","143,918","142,934","162,664","4,851.00","25,755.00",5.44,8.22,20.55,10.76
Năm 2024,"364,132","77,890","28,586","23,137","23,137","229,501","336,830","150,772","150,044","186,058","3,120.00","22,276.00",7.05,6.35,13.27,7.19
