,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2006,"534,993","49,203","2,510","3,629","3,629","171,247","187,336","167,447","148,145","19,889","2,271.00","12,393.00",,0.68,36.49,3.87
Năm 2007,"582,777","47,634","8,654","6,932","6,932","256,641","286,887","217,328","197,286","69,559","1,769.00","17,738.00",,1.19,15.50,2.92
Năm 2008,"641,831","74,620","10,888","8,609","8,609","241,885","281,928","212,298","209,831","69,630","2,197.00","17,756.00",,1.34,12.37,3.03
Năm 2009,"836,543","102,598","13,207","13,921","13,921","333,457","371,591","298,018","297,703","73,574","3,447.00","18,217.00",,1.66,19.44,4.26
Năm 2010,"866,496","133,992","16,086","14,904","14,904","352,905","405,797","285,857","285,857","119,939","2,194.00","17,656.00",,1.72,15.40,3.83
Năm 2011,"880,402","140,389","17,008","15,175","15,175","327,252","412,863","292,112","292,112","120,750","2,234.00","17,776.00",,1.72,12.61,3.71
Năm 2012,"3,099,799","114,742","50,493","40,769","40,769","3,609,601","3,764,901","3,439,704","3,427,130","325,197",0,0,,1.32,18.28,1.95
Năm 2013,"813,486","123,519","12,260","9,985","9,985","264,167","413,727","294,037","263,335","119,689","1,470.00","17,619.00",,1.23,4.49,0.48
Năm 2014,"732,615","126,594","13,353","11,837","11,837","280,591","423,965","306,423","271,823","117,541","1,743.00","17,303.00",,1.62,9.98,2.83
Năm 2015,"714,432","146,611","14,969","12,996","12,996","323,690","480,437","361,157","301,575","119,280","1,913.00","17,400.00",,1.82,10.98,2.87
Năm 2016,"765,573","167,235","15,808","14,105","14,105","297,042","457,703","336,521","284,369","121,182","1,888.00","16,166.00",,1.84,11.73,3.01
Năm 2017,"709,464","162,541","11,848","10,583","10,583","325,618","488,942","366,667","317,645","122,275","1,416.00","16,321.00",,1.49,8.69,2.24
Năm 2018,"515,190","135,852","1,480","2,023","2,023","247,567","408,875","284,613","218,893","124,262",271.00,"16,591.00",,0.39,1.64,0.45
Năm 2019,"518,732","161,652","3,645","3,626","3,626","281,861","435,382","303,991","241,592","131,391",485.00,"16,995.00",,0.70,2.84,0.86
Năm 2020,"533,597","166,992","3,596","3,695","3,695","286,957","423,340","295,532","264,676","127,808",495.00,"17,065.00",,0.69,2.85,0.86
Năm 2021,"505,216","165,227","3,584","3,330","3,330","328,487","448,405","320,962","289,891","127,442",446.00,"17,016.00",0,0.66,2.61,0.76
Năm 2022,"581,394","191,677","3,677","3,555","3,555","313,673","420,164","292,497","292,497","127,667",476.00,"17,046.00",28.59,0.61,2.79,0.82
Năm 2023,"526,042","171,618","2,812","2,408","2,408","323,515","421,699","295,179","295,179","126,520",322.00,"16,892.00",42.20,0.46,1.89,0.57
Năm 2024,"533,147","164,077","2,787","3,215","3,215","266,864","353,174","225,846","225,846","127,328",430.00,"17,000.00",36.25,0.60,2.53,0.83
