,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2015,"64,932","22,099","-1,148",-932,-932,"32,829","233,481","109,063","88,713","124,418",-77.00,"10,222.00",,-1.44,-1.50,-0.80
Năm 2016,"87,157","31,625","1,534","1,568","1,568","58,014","248,970","120,984","81,909","127,986",129.00,"10,351.00",,1.80,1.24,0.65
Năm 2017,"169,249","69,826","22,744","17,991","17,991","107,692","296,439","150,218","118,199","146,221","1,478.00","11,824.00",0,10.63,13.12,6.60
Năm 2018,"266,575","135,072","65,811","61,145","61,145","148,439","330,583","132,776","107,860","197,807","5,023.00","16,213.00",0,22.94,35.55,19.50
Năm 2019,"444,246","244,344","114,568","93,012","93,012","234,276","497,877","216,399","160,784","281,478","7,642.00","23,018.00",0,20.94,38.81,22.45
Năm 2020,"518,449","268,074","106,716","97,211","97,211","274,218","533,702","174,108","129,987","359,595","7,987.00","29,592.00",6.24,18.75,30.33,18.85
Năm 2021,"576,176","312,774","118,903","108,263","108,263","363,440","614,773","164,167","137,311","450,606","8,895.00","37,021.00",8.77,18.79,26.71,18.85
Năm 2022,"788,046","407,572","132,336","124,820","124,820","512,450","894,923","296,962","227,297","597,961","7,946.00","36,845.00",11.33,15.84,23.81,16.54
Năm 2023,"1,113,485","611,845","232,768","216,896","216,896","705,633","1,082,335","291,561","242,969","790,774","13,365.00","48,726.00",10.17,19.48,31.24,21.94
Năm 2024,"1,293,252","680,744","264,052","237,232","237,232","831,625","1,282,429","307,885","276,833","974,545","14,618.00","60,049.00",9.37,18.34,26.88,20.06
