,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số
Năm 2012,"7,479,481","656,309","175,344","314,346","309,192","3,493,840","4,994,886","3,053,804","2,760,580","1,873,736","7,034.00","42,624.00",,4.20,33.00,12.38,"67,346"
Năm 2013,"8,039,838","745,540","175,885","311,381","307,385","3,723,982","5,110,215","2,963,078","2,809,675","2,093,010","6,993.00","47,617.00",,3.87,15.50,6.08,"54,126"
Năm 2014,"8,015,903","718,549","232,728","384,612","377,073","4,233,480","5,676,050","3,327,913","3,183,276","2,290,364","8,579.00","52,107.00",,4.80,17.20,6.99,"57,774"
Năm 2015,"7,281,118","674,666","363,309","350,017","346,519","4,327,496","6,785,214","3,266,792","3,182,357","3,488,258","7,715.00","77,659.00",,4.81,11.99,5.56,"30,164"
Năm 2016,"6,036,110","549,079","484,040","661,836","641,634","4,640,170","6,897,710","3,226,959","3,171,809","3,670,751","14,267.00","81,618.00",,10.96,17.93,9.38,
Năm 2017,"6,814,294","595,592","228,570","243,016","214,478","4,097,728","6,114,491","3,608,396","3,548,169","2,506,096",905.00,"10,574.00",22.87,3.57,6.94,3.30,
Năm 2018,"6,000,682","515,262","217,277","206,318","186,921","3,647,447","5,713,589","3,052,575","2,995,997","2,661,015",789.00,"11,228.00",20.92,3.44,7.24,3.16,
Năm 2019,"5,692,987","493,612","239,605","228,681","206,934","3,523,743","5,709,444","2,888,069","2,820,160","2,821,375",873.00,"11,905.00",12.14,4.02,7.55,3.62,
Năm 2020,"5,311,210","513,498","235,544","215,875","195,070","3,943,433","6,103,136","3,194,219","3,136,939","2,908,917",823.00,"12,274.00",21.38,4.06,6.81,3.30,
Năm 2021,"4,873,577","439,749","234,381","217,351","195,352","3,767,718","5,862,094","2,867,374","2,816,371","2,994,720",824.00,"12,636.00",30.94,4.46,6.62,3.27,
Năm 2022,"5,540,585","544,003","131,751","110,373","84,122","3,766,572","5,778,024","3,012,502","2,946,015","2,765,522",355.00,"11,669.00",53.25,1.99,2.92,1.45,
Năm 2023,"5,583,219","597,838","427,289","390,271","346,000","4,079,939","6,077,659","2,947,076","2,885,742","3,130,582","1,460.00","13,209.00",12.40,6.99,11.74,5.84,
Năm 2024,"5,521,801","592,710","483,058","468,095","420,815","4,363,156","6,455,458","2,945,522","2,914,046","3,509,936","1,776.00","14,810.00",14.14,8.48,12.67,6.72,
