,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số
Năm 2010,"12,050","10,380","10,724","10,712","10,712","58,689","68,915","33,496","30,397","35,419","3,060.00","10,120.00",0,88.90,60.49,31.09,
Năm 2011,"4,764","2,750",675,724,724,"1,367,757","1,394,267","1,283,124","1,280,736","111,143",66.00,"10,104.00",0,15.21,0.99,0.10,
Năm 2012,"18,144","9,178","10,692","8,711","8,711","1,689,683","1,865,920","1,706,066","1,634,390","159,854",581.00,"10,657.00",0,48.01,6.43,0.53,
Năm 2013,"37,415","17,760","44,661","34,343","34,343","93,260","232,255","38,775","37,821","193,480","2,274.00","12,284.00",7.21,91.79,19.44,3.27,
Năm 2014,"244,378","79,596","182,830","146,032","132,137","702,365","992,416","202,807","201,953","660,600","4,092.00","13,212.00",5.63,59.76,30.94,21.58,"129,008"
Năm 2015,"1,706,673","323,926","375,531","305,715","245,265","3,322,357","4,400,538","1,343,364","1,041,318","2,077,870","2,102.00","11,594.00",4.33,17.91,17.91,9.10,"979,305"
Năm 2016,"2,422,754","436,225","195,595","143,684","112,030","2,298,901","4,339,323","576,365","543,282","3,762,958",589.00,"16,833.00",7.61,5.93,3.84,2.56,
Năm 2017,"1,625,361","384,620","155,815","112,583","106,047","2,421,819","4,899,489","901,611","665,919","3,997,878",418.00,"15,695.00",20.21,6.93,2.73,2.30,
Năm 2018,"1,596,598","328,090","6,050","-9,314",296,"2,568,443","5,197,292","1,228,665","598,492","3,968,627",1.00,"15,580.00","2,200.78",-0.58,0.01,0.01,
Năm 2019,"1,181,475","255,566","109,821","92,076","70,228","2,766,191","5,284,711","1,238,040","716,670","4,046,670",276.00,"15,886.00",36.63,7.79,1.75,1.34,
Năm 2020,"1,188,427","266,256","101,535","83,351","56,453","3,329,699","5,283,977","1,237,397","735,410","4,046,580",222.00,"15,886.00",69.26,7.01,1.40,1.07,
Năm 2021,"1,220,561","306,464","270,275","231,471","157,969","3,695,009","5,984,081","1,284,372","1,159,012","4,699,709",615.00,"17,888.00",26.73,18.96,3.61,2.80,
Năm 2022,"1,917,210","458,974","111,505","71,604","23,315","4,691,055","6,997,712","1,133,147","953,671","5,864,566",75.00,"17,252.00",47.14,3.73,0.44,0.36,
Năm 2023,"1,745,768","348,319","-17,172","-77,624","-114,938","5,632,480","7,721,554","1,934,612","1,667,519","5,786,941",-338.00,"17,024.00",-13.28,-4.45,-1.97,-1.56,
Năm 2024,"1,953,658","392,853","224,800","176,503","119,264","5,351,693","7,747,808","1,806,933","1,366,296","5,940,875",351.00,"17,477.00",12.03,9.03,2.03,1.54,
