,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2009,"191,928","37,307","5,666","4,724","4,724","149,473","168,702","147,404","142,715","21,298","3,779.00","17,038.00",,2.46,44.36,5.60
Năm 2010,"200,054","45,205","8,061","6,039","6,039","105,178","133,233","93,174","88,268","40,059","1,813.00","12,024.00",,3.02,19.68,4.00
Năm 2011,"252,709","49,610","10,744","8,285","8,285","105,420","134,467","86,123","82,452","48,344","2,487.00","14,510.00",,3.28,18.74,6.19
Năm 2012,"252,594","46,059","7,976","6,823","6,823","116,559","162,706","88,955","83,214","73,751","1,166.00","12,604.00",,2.70,11.18,4.59
Năm 2013,"282,639","61,837","4,983","5,626","5,626","107,423","192,491","120,626","85,165","71,864",962.00,"11,592.00",,1.99,7.73,3.17
Năm 2014,"317,831","66,836","5,709","5,521","5,521","110,660","207,096","133,922","83,045","73,174",943.00,"12,506.00",,1.74,7.61,2.76
Năm 2015,"356,872","81,381","10,081","8,395","8,395","120,577","213,118","137,361","90,242","75,757","1,435.00","12,947.00",,2.35,11.27,4.00
Năm 2016,"381,783","90,821","8,994","8,110","8,110","144,769","234,519","156,143","115,269","78,376","1,386.00","13,224.00",,2.12,10.52,3.62
Năm 2017,"365,968","91,062","10,710","8,400","8,400","144,593","228,472","145,378","115,882","83,094","1,432.00","13,372.00",11.03,2.30,10.40,3.63
Năm 2018,"330,070","89,141","9,462","7,925","7,925","142,336","226,717","133,104","121,289","93,613","1,204.00","13,721.00",9.55,2.40,8.97,3.48
Năm 2019,"333,254","93,922","10,445","8,790","8,790","120,713","219,121","113,801","97,496","105,319","1,192.00","13,426.00",7.97,2.64,8.84,3.94
Năm 2020,"329,969","91,116","9,193","7,261","7,261","133,604","232,102","120,177","109,869","111,925",834.00,"12,364.00",9.72,2.20,6.68,3.22
Năm 2021,"346,665","92,868","12,237","9,523","9,523","145,482","246,889","128,205","118,235","118,684","1,046.00","12,496.00",14.82,2.75,8.26,3.98
Năm 2022,"473,581","132,815","21,156","16,850","16,850","167,510","286,274","155,528","135,111","130,746","1,778.00","13,121.00",7.76,3.56,13.51,6.32
Năm 2023,"416,217","104,075","15,736","12,428","12,428","148,546","265,621","139,348","131,375","126,273","1,251.00","12,676.00",13.59,2.99,9.67,4.50
Năm 2024,"409,292","108,264","19,928","15,795","15,795","146,944","305,358","175,210","149,330","130,147","1,590.00","13,066.00",12.58,3.86,12.32,5.53
