,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2003,"284,407","80,234","25,730","23,763","23,763","201,456","232,030","168,654","155,660","63,376","7,760.00","20,696.00",0,8.36,74.99,20.48
Năm 2004,"322,724","95,994","33,729","30,479","30,479","211,985","239,362","152,927","147,603","86,434","6,925.00","19,637.00",0,9.44,40.69,12.93
Năm 2005,"337,334","119,354","29,906","26,493","26,493","286,950","314,932","149,180","144,287","165,752","4,140.00","25,899.00",0,7.85,21.01,9.56
Năm 2006,"525,406","158,146","44,306","42,276","42,276","260,420","304,671","71,863","71,377","232,807","5,033.00","27,715.00",19.87,8.05,21.21,13.65
Năm 2007,"451,602","193,030","62,347","54,518","54,518","469,910","568,426","72,911","72,209","495,515","6,027.00","42,450.00",31.03,12.07,14.97,12.49
Năm 2008,"561,844","242,036","75,128","58,266","58,266","398,184","596,411","83,838","81,905","512,573","4,997.00","43,961.00",15.01,10.37,11.56,10.00
Năm 2009,"660,076","293,433","83,152","65,707","65,707","527,191","731,469","193,739","182,931","537,730","5,656.00","46,346.00",14.94,9.95,12.51,9.90
Năm 2010,"763,995","352,896","99,297","80,466","80,466","497,688","751,000","161,741","160,035","589,260","6,934.00","50,538.00",8.87,10.53,14.28,10.86
Năm 2011,"776,365","387,935","111,018","77,606","77,606","566,759","827,689","118,671","116,644","709,018","5,461.00","46,601.00",7.09,10.00,11.96,9.83
Năm 2012,"818,122","377,604","105,099","77,614","77,614","547,353","861,611","147,428","134,751","714,183","5,104.00","43,532.00",6.92,9.49,10.91,9.19
Năm 2013,"841,316","389,848","98,025","60,624","60,624","560,036","869,840","143,987","119,683","725,853","3,695.00","44,244.00",10.09,7.21,8.42,7.00
Năm 2014,"897,136","418,867","111,168","85,779","85,779","719,282","1,029,539","232,902","200,327","796,636","4,538.00","30,277.00",9.22,9.56,11.27,9.03
Năm 2015,"964,319","383,260","119,928","92,910","92,910","744,701","1,092,715","185,884","156,439","906,831","3,230.00","31,332.00",11.61,9.63,10.91,8.76
Năm 2016,"1,010,346","405,053","126,777","101,159","101,159","721,079","1,155,845","219,929","198,131","935,916","3,495.00","32,348.00",15.99,10.01,10.98,9.00
Năm 2017,"1,165,456","457,975","145,757","117,360","117,360","977,543","1,773,631","378,317","343,855","1,395,314","2,969.00","32,481.00",22.21,10.07,10.07,8.01
Năm 2018,"1,184,818","469,630","170,603","138,683","138,683","834,742","1,774,247","269,634","236,478","1,504,613","2,973.00","30,457.00",20.48,11.71,9.56,7.82
Năm 2019,"1,402,454","527,920","194,427","162,387","162,387","779,755","1,847,174","288,285","262,454","1,558,889","3,287.00","31,565.00",14.60,11.58,10.60,8.97
Năm 2020,"1,369,422","547,046","252,540","209,697","209,697","981,975","2,096,455","365,969","346,932","1,730,486","3,692.00","25,955.00",15.25,15.31,12.75,10.63
Năm 2021,"1,266,597","488,001","234,475","189,095","189,095","1,176,340","2,294,700","500,290","408,638","1,794,410","2,836.00","26,914.00",27.43,14.93,10.73,8.61
Năm 2022,"1,643,707","697,355","290,633","223,540","223,540","1,103,553","2,276,944","382,497","382,497","1,894,447","3,353.00","28,415.00",17.95,13.60,12.12,9.78
Năm 2023,"1,994,037","810,536","374,407","299,556","299,556","1,207,135","2,392,615","308,036","308,036","2,084,579","4,444.00","29,778.00",12.74,15.02,15.06,12.83
Năm 2024,"2,205,120","855,557","403,285","320,862","320,862","1,409,544","2,504,777","321,657","321,657","2,183,119","3,373.00","14,175.00",13.93,14.55,15.04,13.10
