,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2008,"136,560","45,722",911,521,521,"156,458","336,207","329,338","322,591","6,869",868.00,"11,449.00",0,0.38,15.16,0.31
Năm 2009,"182,915","83,986","37,775","33,307","33,307","201,090","403,300","356,883","349,424","46,417","55,511.00","77,361.00",0,18.21,125.01,9.01
Năm 2010,"421,755","138,548","101,117","76,598","76,598","262,261","465,858","176,490","158,119","289,368","3,165.00","11,957.00",0,18.16,45.62,17.63
Năm 2011,"605,381","235,032","173,840","134,806","134,806","555,339","758,922","383,149","351,299","375,774","5,570.00","15,528.00",2.94,22.27,40.53,22.01
Năm 2012,"761,740","299,980","225,246","170,076","170,076","1,024,526","1,332,111","634,667","609,838","697,444","5,251.00","19,691.00",3.96,22.33,31.69,16.27
Năm 2013,"594,056","174,265","83,877","41,680","41,680","1,157,872","1,630,215","678,760","612,148","951,456",934.00,"16,746.00",19.58,7.02,5.06,2.81
Năm 2014,"1,116,467","379,679","264,812","219,556","219,556","2,023,997","2,551,439","659,117","470,217","1,892,322","3,762.00","30,277.00",4.44,19.67,15.44,10.50
Năm 2015,"507,338","3,386","-1,325,032","-1,335,782","-1,335,782","341,474","841,489","285,069","161,963","556,420","-12,247.00","4,946.00",-0.43,-263.29,-109.10,-78.74
Năm 2016,"499,432","93,981","-33,337","-31,694","-31,694","270,741","732,595","207,869","162,933","524,726",-282.00,"4,664.00",-12.78,-6.35,-5.86,-4.03
Năm 2017,"542,017","109,821","-18,177","10,516","10,516","238,719","664,938","137,459","101,966","527,479",93.00,"4,689.00",43.97,1.94,2.00,1.50
Năm 2018,"615,074","108,097","2,063","11,446","11,446","325,064","701,947","173,365","148,221","528,582",102.00,"4,699.00",29.59,1.86,2.17,1.67
Năm 2019,"517,173","109,058","-8,532","2,796","2,796","318,528","637,857","106,479","81,697","531,378",25.00,"4,723.00",136.40,0.54,0.53,0.42
Năm 2020,"411,417","35,854","-71,399","-76,686","-76,686","300,319","627,726","173,034","156,441","454,692",-682.00,"4,042.00",-8.80,-18.64,-15.55,-12.12
Năm 2021,"391,228","40,529","-25,742","-29,966","-29,943","321,081","600,529","175,552","164,591","424,976",-266.00,"3,778.00",-38.13,-7.66,-6.81,-4.88
Năm 2022,"396,301","90,121","13,776","21,729","21,766","386,365","591,198","144,493","139,267","446,706",193.00,"3,971.00",15.76,5.48,4.99,3.65
Năm 2023,"576,287","138,863","45,158","52,640","52,634","528,425","686,677","187,331","185,096","499,346",468.00,"4,439.00",7.22,9.13,11.13,8.24
Năm 2024,"611,540","147,572","57,926","40,336","40,282","562,295","828,103","288,421","288,286","539,682",358.00,"4,797.00",10.61,6.60,7.75,5.32
