,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2008,"163,667","20,673","6,243","5,173","5,173","45,552","71,743","47,146","41,243","24,597","3,043.00","14,439.00",0,3.16,42.06,14.42
Năm 2009,"217,495","33,472","17,372","14,977","14,977","58,454","83,772","46,790","45,135","36,982","8,810.00","21,749.00",0,6.89,48.64,19.26
Năm 2010,"279,038","47,639","23,659","18,067","18,067","92,324","120,522","69,691","67,993","50,831","10,628.00","29,895.00",4.00,6.47,41.15,17.69
Năm 2011,"353,017","55,721","26,195","22,395","22,395","116,649","146,768","80,105","76,238","66,663","11,227.00","19,605.00",1.38,6.34,38.12,16.76
Năm 2012,"422,850","55,782","23,071","19,683","19,683","132,082","163,262","89,810","85,478","73,452","5,789.00","21,604.00",4.44,4.65,28.10,12.70
Năm 2013,"462,895","62,103","23,401","18,007","18,007","141,226","186,072","107,368","101,756","78,704","5,296.00","23,132.00",7.14,3.89,23.67,10.31
Năm 2014,"484,310","61,985","22,675","18,582","18,582","134,499","212,052","127,147","108,393","84,905","5,466.00","24,890.00",8.91,3.84,22.72,9.34
Năm 2015,"484,278","63,978","19,647","17,699","17,699","162,705","252,327","162,955","145,058","89,372","5,206.00","26,273.00",8.13,3.65,20.31,7.62
Năm 2016,"513,510","79,006","21,985","19,767","19,767","193,773","281,033","184,781","170,475","96,253","5,814.00","28,302.00",6.42,3.85,21.30,7.41
Năm 2017,"528,312","75,993","15,982","14,625","14,625","180,526","276,043","168,815","146,592","107,228","2,016.00","13,666.00",15.38,2.77,14.37,5.25
Năm 2018,"431,851","56,937","-20,034","-20,012","-20,012","172,799","267,761","182,664","166,839","85,097","-2,556.00","10,830.00",-10.02,-4.63,-20.81,-7.36
Năm 2019,"379,664","76,420","-7,848","7,947","7,947","178,729","284,804","191,127","175,627","93,677","1,015.00","11,845.00",21.38,2.09,8.89,2.88
Năm 2020,"252,794","37,523","-28,674","-25,969","-25,969","130,076","217,607","101,198","94,245","116,409","-2,864.00","9,093.00",-4.19,-10.27,-24.72,-10.34
Năm 2021,"161,902","21,225","8,639","37,870","37,870","144,283","215,921","62,541","58,483","153,380","2,981.00","12,074.00",12.58,23.39,28.07,17.47
Năm 2022,"187,415","37,519","-38,913","-38,909","-38,909","158,993","228,391","115,921","113,609","112,470","-3,063.00","8,854.00",-1.70,-20.76,-29.27,-17.51
Năm 2023,"186,001","37,166","-19,165","-20,105","-20,105","139,993","194,773","102,407","100,687","92,366","-1,583.00","7,271.00",-10.05,-10.81,-19.63,-9.50
Năm 2024,"217,958","64,390","6,571","6,919","6,919","156,733","207,157","107,873","106,103","99,284",545.00,"7,816.00",18.73,3.17,7.22,3.44
