,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2006,"111,833","11,873","7,122","5,837","5,837","67,414","108,238","77,598","62,332","30,640","2,780.00","14,590.00",0,5.22,38.10,10.79
Năm 2007,"143,055","16,122","3,255","7,232","7,232","67,923","119,925","82,288","66,946","37,637","3,131.00","16,293.00",0,5.06,21.19,6.34
Năm 2010,"174,973","44,605","27,011","21,417","21,417","72,922","139,635","76,143","67,740","63,492","7,385.00","21,894.00",0,12.24,67.46,30.68
Năm 2011,"229,634","61,709","24,951","21,553","21,553","80,578","157,463","90,331","81,643","67,131","7,560.00","23,547.00",4.57,9.39,33.00,14.51
Năm 2012,"228,683","62,419","22,537","19,493","19,493","88,823","166,194","98,032","73,080","68,162","5,265.00","18,391.00",0.71,8.52,28.82,12.05
Năm 2013,"221,148","51,516","23,822","18,372","18,372","83,471","157,967","87,549","64,955","70,418","4,957.00","19,000.00",0.76,8.31,26.51,11.34
Năm 2014,"237,330","50,775","23,336","18,106","18,106","99,476","163,577","91,968","73,778","71,608","4,885.00","19,321.00",0.15,7.63,25.50,11.26
Năm 2015,"268,761","56,959","26,725","20,164","20,164","98,088","168,304","91,970","74,970","76,334","5,441.00","20,596.00",0.17,7.50,27.26,12.15
Năm 2016,"292,180","65,084","34,206","27,156","27,156","103,351","181,453","96,585","68,830","84,868","7,287.00","22,899.00",0.12,9.29,33.69,15.53
Năm 2017,"321,707","72,508","39,291","31,025","31,025","102,410","179,926","90,419","59,237","89,507","8,371.00","24,151.00",0.14,9.64,35.58,17.17
Năm 2018,"317,044","69,143","34,082","28,879","28,879","108,598","197,335","95,356","69,160","101,979","7,792.00","27,516.00",0.15,9.11,30.16,15.31
Năm 2019,"334,360","72,320","36,129","28,846","28,846","121,699","204,301","83,855","71,855","120,447","7,708.00","30,951.00",0.21,8.63,25.94,14.36
Năm 2020,"311,249","68,693","33,290","27,273","27,273","114,765","192,607","56,102","48,102","136,505","6,990.00","33,407.00",0.23,8.76,21.23,13.74
Năm 2021,"368,575","83,854","47,107","37,422","37,422","137,226","207,832","52,146","52,146","155,686","9,159.00","38,102.00",0.17,10.15,25.61,18.69
Năm 2022,"369,970","81,203","46,298","35,678","35,678","153,169","222,129","47,891","47,891","174,237","8,732.00","42,642.00",0.18,9.64,21.63,16.60
Năm 2023,"325,068","77,792","45,312","34,787","34,787","173,019","240,932","50,012","50,012","190,920","8,514.00","46,725.00",0.35,10.70,19.05,15.02
Năm 2024,"380,351","92,957","56,902","43,966","43,966","196,212","275,268","60,539","60,539","214,729","10,760.00","52,551.00",0.54,11.56,21.68,17.03
