,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2006,"467,179","118,873","59,839","56,293","56,293","280,863","323,009","73,939","68,683","249,070","6,702.00","29,651.00",,12.05,45.20,34.86
Năm 2007,"545,487","168,800","83,407","62,784","62,784","318,551","385,753","95,223","74,795","290,530","7,474.00","34,587.00",,11.51,23.27,17.72
Năm 2008,"596,028","158,843","78,228","61,663","61,663","297,212","401,476","93,879","80,384","307,597","6,695.00","33,398.00",,10.35,20.62,15.67
Năm 2009,"646,845","161,813","79,942","61,191","61,191","327,850","447,383","104,485","92,976","342,897","6,644.00","37,231.00",,9.46,18.81,14.42
Năm 2010,"894,741","185,096","89,825","71,014","71,014","373,437","505,919","132,884","115,332","373,036","7,828.00","40,371.00",,7.94,19.84,14.90
Năm 2011,"1,044,755","196,230","97,750","76,971","76,971","428,034","561,275","151,832","132,862","409,443","8,230.00","40,355.00",,7.37,19.67,14.42
Năm 2012,"1,100,780","213,053","100,381","70,352","70,352","442,777","580,918","148,851","128,166","432,068","6,955.00","42,682.00",,6.39,16.72,12.32
Năm 2013,"1,241,718","254,577","111,732","73,737","73,737","490,659","651,652","180,388","142,306","471,264","6,979.00","44,561.00",,5.94,16.33,11.96
Năm 2014,"1,145,544","245,547","107,388","162,084","162,084","598,539","764,282","181,417","138,045","582,865","12,351.00","44,381.00",,14.15,30.75,22.89
Năm 2015,"1,076,372","239,460","125,720","100,705","100,705","778,516","891,403","194,889","141,360","696,515","6,659.00","46,047.00",,9.36,15.74,12.16
Năm 2016,"1,261,740","267,038","151,257","119,659","119,659","923,454","1,149,654","170,721","102,348","978,933","6,161.00","50,400.00",,9.48,14.28,11.73
Năm 2017,"1,366,681","311,993","152,277","114,559","114,559","630,338","1,300,618","259,146","153,770","1,041,472","5,899.00","104,600.00",0,8.38,11.34,9.35
Năm 2018,"1,157,239","264,200","128,244","107,536","107,536","520,191","1,273,976","182,340","103,436","1,091,637","5,537.00","56,210.00",11.63,9.29,10.08,8.35
Năm 2019,"1,217,200","286,512","84,012","65,470","65,470","640,141","1,464,866","201,196","87,293","1,263,670","2,966.00","55,011.00",18.88,5.38,5.56,4.78
Năm 2020,"1,210,530","257,760","59,637","39,680","39,680","695,724","1,497,532","235,489","102,067","1,262,043","1,727.00","54,940.00",24.03,3.28,3.14,2.68
Năm 2021,"1,129,847","209,722","17,031","15,861","15,861","852,902","1,628,313","379,261","231,699","1,249,052",658.00,"49,432.00",98.80,1.40,1.26,1.01
Năm 2022,"1,192,146","348,751","66,739","41,691","41,691","879,003","1,620,434","352,786","199,825","1,267,648","1,650.00","50,168.00",15.82,3.50,3.31,2.57
Năm 2023,"904,747","267,378","27,061","25,114","25,114","833,961","1,548,934","288,040","122,557","1,260,894",994.00,"49,900.00",25.96,2.78,1.99,1.58
Năm 2024,"919,577","248,057","53,427","40,785","40,785","961,167","1,631,595","346,911","160,063","1,284,684","1,614.00","50,842.00",17.66,4.44,3.20,2.56
