,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2007,"25,039","8,129","1,142",961,961,"14,210","17,835","10,813","10,446","7,022","1,921.00","14,044.00",0,3.84,27.36,10.77
Năm 2008,"26,693","10,200","1,074",974,974,"18,717","22,067","11,024","9,514","11,043",974.00,"11,043.00",10.37,3.65,10.79,4.88
Năm 2009,"27,297","11,054","1,735","1,594","1,594","17,562","20,913","9,073","8,153","11,839","1,591.00","11,839.00",7.42,5.84,13.93,7.42
Năm 2010,"32,915","12,886","1,882","1,550","1,550","20,362","23,655","10,977","10,366","12,678","1,505.00","11,961.00",17.54,4.71,12.65,6.96
Năm 2011,"38,178","12,405",262,93,93,"12,382","19,468","7,443","6,853","12,025",88.00,"10,702.00",76.25,0.24,0.76,0.43
Năm 2012,"32,527","14,907","-2,322","-2,226","-2,226","10,472","18,420","8,667","8,230","9,753","-1,981.00","8,681.00",-4.19,-6.84,-20.44,-11.75
Năm 2013,"46,029","20,024","1,419",859,859,"24,757","67,995","43,404","17,620","24,591",367.00,"9,145.00",21.79,1.87,5.00,1.99
Năm 2014,"61,188","22,207","2,922","2,437","2,437","32,659","78,048","51,020","25,886","27,028",906.00,"10,051.00",10.04,3.98,9.44,3.34
Năm 2015,"77,283","24,538",530,"1,042","1,042","34,084","78,394","50,324","35,264","28,070",388.00,"10,438.00",23.48,1.35,3.78,1.33
Năm 2016,"97,356","32,639","3,190","2,102","2,102","52,966","130,736","77,455","50,628","53,280",502.00,"10,656.00",35.24,2.16,5.17,2.01
Năm 2017,"128,532","33,101","1,090",192,192,"57,655","134,460","82,488","64,454","51,972",38.00,"10,394.00",281.57,0.15,0.36,0.14
Năm 2018,"134,579","27,967",59,-218,-218,"53,934","128,229","76,475","57,680","51,755",-44.00,"10,351.00",-321.77,-0.16,-0.42,-0.17
Năm 2019,"102,410","22,298","2,347","1,698","1,698","40,758","105,716","52,768","36,169","52,948",340.00,"10,590.00",35.34,1.66,3.24,1.45
Năm 2020,"103,420","28,789","7,582","7,053","7,053","43,049","99,490","39,303","34,971","60,188","1,411.00","12,038.00",18.79,6.82,12.47,6.87
Năm 2021,"121,759","29,600","8,771","7,528","7,528","59,906","108,566","40,849","39,349","67,716","1,506.00","13,543.00",9.23,6.18,11.77,7.24
Năm 2022,"119,634","33,029","7,598","5,904","5,904","64,912","106,044","32,424","30,924","73,620","1,181.00","14,724.00",9.32,4.94,8.35,5.50
Năm 2023,"110,906","32,232","7,564","6,201","6,201","61,943","98,326","18,504","18,504","79,822","1,240.00","15,964.00",8.71,5.59,8.08,6.07
Năm 2024,"107,036","35,937","9,357","7,324","7,324","76,987","109,489","22,343","22,343","87,146","1,465.00","17,429.00",6.69,6.84,8.77,7.05
