,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2013,"134,396","35,724","13,574","13,203","13,203","51,974","98,162","39,039","39,039","59,123","3,592.00","16,077.00",,9.82,44.66,26.90
Năm 2014,"84,570","20,360",97,"3,856","3,856","41,324","84,255","21,276","18,589","62,978","1,049.00","17,126.00",,4.56,6.32,4.23
Năm 2015,"90,535","20,147",914,"9,841","9,841","43,460","88,420","28,520","24,560","59,901","2,677.00","16,288.00",,10.87,16.02,11.40
Năm 2016,"80,671","18,294",794,"25,680","25,680","52,414","99,610","27,257","23,266","72,353","6,987.00","19,676.00",,31.83,38.83,27.31
Năm 2017,"77,017","14,261","-2,224","-4,338","-4,338","37,093","77,790","10,550","10,281","67,240","-1,180.00","18,285.00",-18.22,-5.63,-6.22,-4.89
Năm 2018,"98,079","15,844","3,272","2,523","2,523","44,593","83,738","15,808","15,245","67,930",686.00,"18,473.00",32.20,2.57,3.73,3.12
Năm 2019,"107,958","23,040","8,223","6,675","6,675","61,062","96,405","24,815","24,417","71,591","1,816.00","19,469.00",11.01,6.18,9.57,7.41
Năm 2020,"197,599","33,413","15,278","13,012","13,012","93,946","130,366","52,548","47,968","77,818","3,540.00","21,163.00",10.88,6.58,17.42,11.48
Năm 2021,"284,511","56,155","31,982","23,724","23,724","116,558","164,580","70,048","59,813","94,532","6,458.00","25,737.00",8.38,8.34,27.53,16.09
Năm 2022,"202,309","39,135","15,859","12,666","12,666","97,233","142,683","49,436","42,754","93,248","3,452.00","25,388.00",5.97,6.26,13.49,8.24
Năm 2023,"139,453","25,375","7,926","5,408","5,408","76,901","115,264","28,695","28,683","86,569","1,344.00","12,740.00",20.53,3.88,6.01,4.19
Năm 2024,"139,658","9,791","-6,965","-7,119","-7,119","55,065","86,891","12,722","12,710","74,168","-1,048.00","10,914.00",-13.26,-5.10,-8.86,-7.04
