,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số
Năm 2009,0,0,0,0,0,"267,599","307,841","274,924","260,254","32,917",0,"16,458.00",0,0,0,0,
Năm 2010,"374,433","58,359","5,617","4,542","4,542","294,077","329,568","291,492","283,577","38,075","2,277.00","19,085.00",12.07,1.21,12.80,1.43,
Năm 2011,"559,603","81,571","7,286","7,678","7,678","363,066","397,486","358,127","355,021","39,359","3,848.00","19,729.00",7.29,1.37,19.83,2.11,
Năm 2012,"644,498","82,934",289,"10,737","10,737","363,719","410,273","365,086","364,103","45,186","4,050.00","15,085.00",4.95,1.67,25.40,2.66,
Năm 2013,"545,441","91,819","12,191","9,165","7,403","374,724","427,734","366,648","349,410","40,924","2,472.00","13,662.00",9.32,1.68,17.19,1.77,"20,162"
Năm 2014,"654,430","86,401","14,710","10,484","8,174","333,978","382,125","319,128","303,930","42,602","2,729.00","14,222.00",6.24,1.60,19.57,2.02,"20,395"
Năm 2015,"721,063","70,715","13,336","10,374","8,236","410,758","453,111","386,577","372,419","66,535","2,750.00","22,212.00",5.14,1.44,15.09,1.97,
Năm 2016,"844,704","59,837","8,052","6,305","4,841","453,159","492,385","424,688","414,165","67,697","1,615.00","22,600.00",13.56,0.75,7.21,1.02,
Năm 2017,"1,142,225","61,024","10,297","8,168","7,128","593,932","632,476","561,874","551,621","70,601","2,380.00","23,570.00",6.81,0.72,10.31,1.27,
Năm 2018,"987,818","55,473","10,186","8,319","8,319","423,036","466,614","409,963","401,755","56,651","2,436.00","14,185.00",4.31,0.84,13.07,1.51,
Năm 2019,"1,129,260","67,629","9,665","7,669","7,669","395,008","429,080","347,436","341,436","81,644","1,165.00","12,382.00",10.73,0.68,11.09,1.71,
Năm 2020,"1,012,779","60,441","8,856","7,854","7,854","434,341","465,338","382,783","376,783","82,555","1,191.00","12,520.00",9.66,0.78,9.57,1.76,
Năm 2021,"1,293,982","72,564","15,735","13,011","13,011","410,451","440,573","352,109","343,977","88,464","1,973.00","13,416.00",6.84,1.01,15.22,2.87,
Năm 2022,"1,328,550","93,614","19,751","4,557","4,557","490,878","516,630","427,189","427,189","89,441",661.00,"12,004.00",14.82,0.34,5.12,0.95,
Năm 2023,"1,245,795","90,502","20,046","16,021","16,021","529,741","568,568","466,892","466,892","101,676","2,150.00","13,646.00",4.93,1.29,16.77,2.95,
Năm 2024,"1,286,902","101,485","21,386","17,804","17,804","587,814","627,180","516,441","509,087","110,739","2,390.00","14,863.00",5.23,1.38,16.76,2.98,
