,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số
Năm 2007,"64,752","33,578",241,"1,078","1,167","67,860","134,182","79,937","54,656","54,109",280.00,"12,984.00",0,1.67,4.31,1.74,136
Năm 2008,"44,530","6,364","-23,901","-23,959","-23,959","81,795","135,606","105,400","83,079","30,206","-5,749.00","7,139.00",0,-53.80,-56.83,-17.76,0
Năm 2009,"374,433","58,359","5,617","4,542","4,542","267,599","307,841","274,924","260,254","32,917","2,271.00","16,458.00",0,1.21,14.39,2.05,0
Năm 2010,"459,650","74,418","6,837","5,507","5,507","294,077","329,568","291,492","283,577","38,075",970.00,"6,703.00",7.22,1.20,15.51,1.73,0
Năm 2012,"265,540","112,541","46,743","41,502","41,502","111,803","148,820","49,151","42,407","99,669","7,307.00","17,507.00",0.63,15.63,83.28,55.78,
Năm 2013,"254,122","115,741","37,304","30,977","30,977","102,683","154,274","39,604","36,431","114,670","5,454.00","20,188.00",5.04,12.19,28.90,20.44,
Năm 2014,"271,961","148,787","25,946","22,698","22,698","119,478","162,319","39,411","39,411","122,908","3,996.00","21,639.00",8.01,8.35,19.11,14.34,
Năm 2015,"215,310","117,538","14,563","12,932","12,932","122,656","157,917","35,634","35,634","122,284","2,277.00","21,529.00",11.86,6.01,10.55,8.08,
Năm 2016,"264,425","123,883","21,570","20,392","20,392","139,084","174,181","35,643","35,643","138,539","3,590.00","24,391.00",5.99,7.71,15.64,12.28,
Năm 2017,"331,277","178,198","40,410","38,268","38,268","121,184","223,972","60,494","39,494","163,478","6,737.00","28,781.00",3.53,11.55,25.34,19.22,
Năm 2018,"413,939","232,467","49,426","46,341","46,341","109,452","259,949","65,317","50,317","194,632","8,159.00","34,266.00",5.15,11.20,25.88,19.15,
Năm 2019,"489,634","266,047","56,863","50,517","50,517","113,894","291,690","59,695","59,695","231,995","8,894.00","40,844.00",5.62,10.32,23.68,18.32,
Năm 2020,"550,394","296,186","83,669","71,609","71,609","160,519","354,816","67,919","67,919","286,897","12,011.00","48,105.00",4.33,13.01,27.60,22.15,
Năm 2021,"640,400","328,003","86,253","68,155","68,155","211,971","425,802","92,820","92,820","332,981","11,428.00","55,832.00",10.76,10.64,21.99,17.46,
Năm 2022,"907,170","480,634","163,746","130,754","130,754","295,904","594,233","148,712","148,712","445,521","21,924.00","74,702.00",5.51,14.41,33.59,25.64,
Năm 2023,"830,309","423,674","120,974","96,490","96,490","299,365","649,750","135,725","135,725","514,026","16,179.00","86,188.00",10.20,11.62,20.11,15.51,
Năm 2024,"949,702","480,618","127,525","98,723","98,723","372,200","748,951","161,595","161,595","587,356","16,553.00","98,484.00",7.13,10.40,17.93,14.12,
