,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2008,"107,604","36,052","15,252","13,967","13,967","43,587","134,116","71,823","29,580","62,293","5,173.00","23,071.00",,12.98,44.84,20.83
Năm 2009,"117,294","39,052","17,851","14,072","14,072","50,653","135,111","68,121","39,177","66,990","3,475.00","16,541.00",,12.00,21.77,10.45
Năm 2010,"130,851","42,889","18,054","16,423","16,423","83,258","166,888","64,757","50,951","102,131","2,959.00","18,402.00",,12.55,19.42,10.88
Năm 2011,"138,269","45,429","21,153","16,764","16,764","74,738","157,726","51,357","40,864","106,370","3,021.00","19,166.00",,12.12,16.08,10.33
Năm 2012,"142,294","56,263","23,017","17,537","17,537","77,820","175,395","64,657","54,905","110,738","3,160.00","19,953.00",,12.32,16.15,10.53
Năm 2013,"142,544","58,528","26,122","19,604","19,604","80,355","173,759","57,810","52,947","115,950","3,532.00","20,892.00",0,13.75,17.30,11.23
Năm 2014,"136,517","57,808","28,136","21,902","21,902","72,652","161,796","38,321","35,404","123,476","3,946.00","22,248.00",0,16.04,18.30,13.05
Năm 2015,"127,451","52,509","28,451","21,714","21,714","98,797","170,939","41,177","40,214","129,762","3,823.00","22,845.00",6.65,17.04,17.15,13.05
Năm 2016,"325,956","53,077","30,006","24,706","24,706","130,009","179,673","36,431","34,640","143,243","4,452.00","25,809.00",7.41,7.58,18.10,14.09
Năm 2017,"117,914","56,078","25,976","21,353","21,353","167,015","238,542","89,015","32,879","149,526","3,844.00","26,942.00",8.58,18.11,14.59,10.21
Năm 2018,"125,092","66,208","31,196","24,557","24,557","192,775","268,167","108,987","49,312","159,180","4,425.00","28,681.00",5.09,19.63,15.91,9.69
Năm 2019,"86,223","36,870","24,463","20,673","20,673","184,744","262,190","50,129","45,992","212,061","2,363.00","19,105.00",12.61,23.98,11.14,7.80
Năm 2020,"95,920","38,323","23,023","20,229","20,229","195,456","267,415","49,462","46,093","217,953","1,822.00","19,635.00",18.82,21.09,9.41,7.64
Năm 2021,"89,513","37,682","24,984","21,382","21,382","207,771","272,786","47,972","44,988","224,814","1,926.00","20,253.00",13.39,23.89,9.66,7.92
Năm 2022,"104,477","45,389","25,750","20,686","20,686","214,456","280,918","44,298","41,898","236,620","1,864.00","21,317.00",12.61,19.80,8.97,7.47
Năm 2023,"85,842","30,348","20,511","16,039","16,039","204,237","291,314","45,969","42,928","245,344","1,445.00","22,103.00",16.26,18.68,6.66,5.61
Năm 2024,"100,828","44,412","23,039","18,300","18,300","186,250","326,635","70,553","54,699","256,082","1,649.00","23,070.00",14.56,18.15,7.30,5.92
