,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2012,"292,458","58,256","9,712","7,355","7,355","95,739","118,249","70,484","64,205","47,765","1,839.00","11,941.00",,2.51,30.80,12.44
Năm 2013,"316,570","62,128","11,072","7,953","7,953","115,794","134,840","85,203","79,201","49,637","1,988.00","12,409.00",,2.51,16.33,6.28
Năm 2014,"295,992","58,135","10,743","8,500","8,500","105,835","121,416","69,349","62,811","52,067","2,125.00","13,017.00",,2.87,16.71,6.63
Năm 2015,"297,318","61,850","10,337","7,807","7,807","123,298","141,420","70,014","63,177","71,406","1,301.00","11,901.00",,2.63,12.65,5.94
Năm 2016,"360,976","67,369","11,376","8,937","8,937","152,340","169,517","94,818","88,604","74,699","1,490.00","12,450.00",,2.48,12.23,5.75
Năm 2017,"328,943","63,275","12,612","10,450","10,450","140,640","158,152","80,340","74,055","77,812","1,742.00","12,969.00",0,3.18,13.70,6.38
Năm 2018,"325,947","58,183","10,328","11,909","11,909","135,375","176,130","90,125","84,129","86,005","1,985.00","14,334.00",0,3.65,14.54,7.13
Năm 2019,"246,328","45,212","2,630","2,268","2,268","100,866","140,502","59,899","54,299","80,603",378.00,"13,434.00",129.63,0.92,2.72,1.43
Năm 2020,"213,476","41,321","3,132","2,458","2,458","99,728","138,331","55,497","50,257","82,834",410.00,"13,806.00",61.03,1.15,3.01,1.76
Năm 2021,"179,692","36,920","2,710","1,978","1,978","87,070","126,079","41,268","36,352","84,812",330.00,"14,135.00",56.73,1.10,2.36,1.50
Năm 2022,"212,438","46,492","7,783","6,120","6,120","86,789","135,044","44,555","39,734","90,488","1,020.00","15,081.00",20.59,2.88,6.98,4.69
Năm 2023,"195,413","42,097","3,236","2,419","2,419","86,130","136,233","43,938","39,390","92,295",403.00,"15,382.00",43.41,1.24,2.65,1.78
Năm 2024,"172,135","41,137","3,356","2,346","2,346","73,900","125,115","36,716","32,994","88,399",391.00,"14,733.00",46.29,1.36,2.60,1.80
