,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2006,"155,144","66,644","30,028","27,063","27,063","89,528","126,629","55,672","55,278","70,957","6,766.00","17,739.00",0,17.44,76.28,42.74
Năm 2007,"179,422","86,320","37,373","33,881","33,881","180,440","242,464","24,342","23,734","218,123","4,344.00","27,964.00",0,18.88,23.44,18.36
Năm 2008,"218,540","92,819","33,816","31,251","31,251","161,432","256,609","22,958","22,139","233,651","3,816.00","28,529.00",7.15,14.30,13.84,12.52
Năm 2009,"371,463","136,255","64,280","49,393","49,393","288,906","385,351","123,197","108,269","262,154","6,031.00","32,009.00",9.45,13.30,19.92,15.39
Năm 2010,"354,771","156,944","66,155","50,522","50,522","232,967","401,010","106,853","58,769","294,157","6,169.00","35,917.00",6.32,14.24,18.16,12.85
Năm 2011,"409,088","208,185","66,324","50,477","50,477","214,832","466,917","160,896","93,541","306,021","5,478.00","24,910.00",4.89,12.34,16.82,11.63
Năm 2012,"503,733","246,526","75,938","55,745","55,745","254,739","498,153","157,976","133,486","340,177","4,461.00","26,459.00",8.52,11.07,17.25,11.55
Năm 2013,"563,819","285,932","81,966","56,256","56,256","301,792","538,472","176,019","170,915","362,453","4,376.00","28,191.00",14.63,9.98,16.01,10.85
Năm 2014,"612,160","310,418","85,403","65,659","65,659","315,305","533,045","143,265","138,360","389,780","4,912.00","20,211.00",7.92,10.73,17.46,12.26
Năm 2015,"663,213","301,835","91,525","70,316","70,316","354,164","591,651","135,050","130,304","456,601","3,540.00","18,039.00",9.89,10.60,16.62,12.50
Năm 2016,"790,405","349,244","100,108","78,666","78,112","530,206","774,747","230,395","223,972","544,351","3,086.00","21,506.00",12.61,9.95,15.61,11.43
Năm 2017,"961,735","406,104","113,167","87,418","86,831","603,345","1,062,633","491,661","485,473","570,972","3,430.00","22,558.00",17.49,9.09,15.57,9.45
Năm 2018,"1,002,478","431,067","115,770","100,762","98,145","692,766","1,189,394","563,378","557,406","626,016","3,799.00","23,555.00",13.06,10.05,16.40,8.72
Năm 2019,"989,390","416,853","120,451","101,249","100,931","824,478","1,180,031","492,368","486,696","687,663","3,798.00","25,874.00",12.11,10.23,15.37,8.52
Năm 2020,"965,591","375,580","133,040","102,907","105,791","790,208","1,152,625","442,110","437,157","710,515","3,981.00","26,734.00",14.95,10.66,15.13,9.07
Năm 2021,"1,123,728","440,082","159,347","123,363","126,377","886,325","1,238,201","495,177","489,633","743,023","4,755.00","27,957.00",12.03,10.98,17.39,10.57
Năm 2022,"1,171,614","484,851","179,568","142,394","142,128","911,258","1,246,225","374,260","368,836","871,964","3,354.00","13,614.00",8.20,12.15,17.60,11.44
Năm 2023,"1,004,887","427,089","156,063","122,319","122,234","927,671","1,260,821","376,657","371,747","884,164","1,908.00","13,804.00",12.58,12.17,13.92,9.75
Năm 2024,"968,576","402,816","138,053","109,454","107,060","903,835","1,221,572","344,754","339,969","876,818","1,671.00","13,689.00",14.96,11.30,12.16,8.63
