,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2007,"83,768","17,304","2,900","1,995","1,995","153,664","408,033","357,038","181,884","50,995",407.00,"10,407.00",,2.38,7.82,0.98
Năm 2008,"281,258","50,101","3,586","3,073","3,073","166,824","447,930","396,380","214,000","51,550",627.00,"10,520.00",,1.09,5.99,0.72
Năm 2009,"352,362","72,975","7,016","5,547","5,547","172,729","457,830","402,907","237,364","54,924","1,132.00","11,209.00",,1.57,10.42,1.22
Năm 2010,"385,858","85,815","8,464","6,533","6,533","220,795","494,694","435,746","233,341","58,948","1,333.00","12,030.00",,1.69,11.47,1.37
Năm 2011,"422,454","88,221","13,735","8,347","8,347","230,407","512,706","422,115","228,894","90,591","1,136.00","12,325.00",,1.98,11.16,1.66
Năm 2012,"509,666","89,842","-21,074","2,288","2,288","259,491","524,646","439,608","231,400","85,039",311.00,"11,570.00",,0.45,2.61,0.44
Năm 2013,"521,656","96,969","6,198","1,416","1,416","274,218","531,756","444,808","259,120","86,948",193.00,"11,830.00",,0.27,1.65,0.27
Năm 2015,"526,134","77,752","3,824","1,287","1,287","220,096","454,283","361,431","239,006","92,852",175.00,"12,633.00",,0.24,2.77,0.57
Năm 2016,"637,321","91,660",-757,305,305,"330,099","563,953","344,277","343,757","219,676",17.00,"12,204.00",,0.05,0.20,0.06
Năm 2017,"926,003","135,653","4,562","3,103","3,103","522,036","773,088","330,309","329,789","442,778",78.00,"11,069.00",0,0.34,0.94,0.46
Năm 2018,"1,215,251","125,557","12,905","3,262","3,262","687,454","1,026,131","554,873","552,661","471,258",82.00,"11,781.00",0,0.27,0.71,0.36
Năm 2019,"989,527","131,741","13,932","10,527","10,532","1,087,199","1,868,563","1,386,779","1,087,271","481,784",263.00,"12,045.00",77.10,1.06,2.21,0.73
Năm 2020,"744,098","125,606","3,999","6,705","6,706","808,158","2,088,580","1,110,319","801,206","978,261",125.00,"10,870.00",127.63,0.90,0.92,0.34
Năm 2021,"940,591","174,924","36,328","27,669","27,683","950,408","2,661,096","1,455,396","888,109","1,205,700",304.00,"10,961.00",61.11,2.94,2.54,1.17
Năm 2022,"1,057,010","235,437","79,589","60,192","60,196","935,340","2,897,032","1,631,694","737,077","1,265,338",542.00,"11,168.00",24.93,5.69,4.87,2.17
Năm 2023,"1,340,033","230,787","51,128","39,362","39,366","913,662","3,167,193","1,919,144","924,026","1,248,050",347.00,"11,015.00",25.33,2.94,3.13,1.30
Năm 2024,"1,065,095","209,760","30,211","21,675","21,685","777,700","3,167,616","1,897,891","976,318","1,269,725",191.00,"11,207.00",36.05,2.04,1.72,0.68
