,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2006,"139,478","52,178","25,274","18,198","18,198","42,224","84,537","19,271","18,998","65,266","3,985.00","14,291.00",0,13.05,55.77,43.05
Năm 2007,"155,703","59,338","28,799","20,646","20,646","49,650","91,451","20,957","20,676","70,495","4,521.00","15,436.00",0,13.26,30.41,23.46
Năm 2008,"170,977","62,095","29,285","21,179","21,179","63,921","103,357","23,796","23,796","79,560","3,268.00","12,275.00",0,12.39,28.23,21.74
Năm 2009,"193,992","68,859","31,915","23,627","23,627","68,059","104,995","17,451","17,031","87,544","3,649.00","13,520.00",8.22,12.18,28.28,22.68
Năm 2010,"223,873","83,987","41,095","31,231","31,231","86,844","124,371","19,140","19,140","105,232","4,823.00","16,251.00",5.18,13.95,32.40,27.23
Năm 2011,"263,806","101,277","50,965","38,658","38,658","113,689","151,661","32,725","32,725","118,936","5,970.00","18,367.00",2.85,14.65,34.49,28.01
Năm 2012,"303,043","116,382","58,789","44,395","44,395","135,327","168,708","41,639","41,639","127,069","6,856.00","19,605.00",4.30,14.65,36.09,27.72
Năm 2013,"357,362","149,121","74,485","55,633","55,633","175,906","208,928","50,305","50,305","158,623","6,763.00","16,997.00",6.43,15.57,38.95,29.46
Năm 2014,"363,476","162,816","80,563","62,329","62,329","196,296","234,303","52,309","52,309","181,994","6,679.00","19,501.00",6.66,17.15,36.60,28.12
Năm 2015,"387,659","165,559","82,995","63,923","63,923","221,368","261,275","55,065","55,065","206,210","6,849.00","22,096.00",6.26,16.49,32.93,25.80
Năm 2016,"413,937","180,903","92,610","73,932","73,932","249,899","296,991","58,658","58,658","238,334","7,922.00","25,538.00",8.66,17.86,33.26,26.49
Năm 2017,"429,602","179,856","91,336","72,737","72,737","277,295","332,446","63,692","63,692","268,754","7,794.00","28,797.00",8.72,16.93,28.69,23.11
Năm 2018,"454,572","177,473","92,039","73,649","73,649","302,753","354,515","54,370","54,370","300,145","7,892.00","26,007.00",7.18,16.20,25.89,21.44
Năm 2019,"464,772","178,138","93,210","74,420","74,420","328,699","384,110","52,015","52,015","332,096","7,974.00","35,585.00",6.62,16.01,23.54,20.15
Năm 2020,"460,764","176,488","93,386","74,618","74,618","355,934","429,053","64,879","64,879","364,173","7,995.00","39,022.00",7.19,16.19,21.43,18.35
Năm 2021,"414,232","147,492","81,971","64,760","64,760","389,042","451,494","62,617","62,617","388,877","6,939.00","41,669.00",9.44,15.63,17.20,14.71
Năm 2022,"472,274","186,356","103,903","83,416","83,416","441,141","494,124","66,342","66,342","427,782","8,938.00","45,838.00",9.51,17.66,20.43,17.64
Năm 2023,"485,186","170,053","104,262","83,564","83,564","379,071","426,375","83,178","83,178","343,197","8,954.00","36,774.00",9.62,17.22,21.68,18.16
Năm 2024,"498,185","187,213","100,043","80,133","80,133","335,436","375,839","86,227","86,227","289,612","8,586.00","31,032.00",12.11,16.09,25.33,19.98
