,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2007,"44,697","3,884","1,192",929,929,"25,483","33,896","7,865","4,055","26,031",422.00,"11,832.00",0,2.08,7.14,5.48
Năm 2008,"42,226","5,539","3,956","2,904","2,904","23,072","32,048","4,528","1,343","27,520","1,320.00","12,509.00",0,6.88,10.85,8.81
Năm 2009,"49,939","5,314","1,764","1,691","1,691","16,752","47,269","18,753","2,321","28,515",769.00,"12,962.00",0,3.39,6.04,4.26
Năm 2010,"66,714","5,594","1,244","1,069","1,069","22,249","53,741","24,071","2,949","29,670",324.00,"8,991.00",30.87,1.60,3.67,2.12
Năm 2011,"84,518","7,936","1,994","2,096","2,096","23,889","73,418","42,460","4,704","30,958",850.00,"13,255.00",8.12,2.48,6.91,3.30
Năm 2012,"91,648","9,760","1,851","2,035","2,035","40,679","116,483","85,499","16,062","30,984",872.00,"13,267.00",8.15,2.22,6.57,2.14
Năm 2013,"101,035","10,772","-5,187","-5,072","-5,072","26,365","109,350","80,197","17,659","29,153","-1,752.00","9,783.00",-7.14,-5.02,-16.87,-4.49
Năm 2014,"107,807","18,659","4,344","5,944","5,944","42,436","118,878","68,681","18,484","50,197","1,673.00","11,155.00",5.91,5.51,14.98,5.21
Năm 2015,"99,314","18,770","6,322","4,812","4,812","44,996","117,419","63,142","40,311","54,277","1,069.00","12,062.00",8.88,4.85,9.21,4.07
Năm 2016,"120,904","23,454","10,267","8,082","8,082","54,779","131,714","57,796","50,441","73,919","1,397.00","12,320.00",7.14,6.68,12.61,6.49
Năm 2017,"131,915","27,796","7,509","6,344","6,344","49,633","153,662","78,980","55,979","74,682","1,057.00","12,447.00",11.82,4.81,8.54,4.45
Năm 2018,"125,529","28,069","7,544","6,617","6,617","57,554","157,447","61,642","43,362","95,805","1,026.00","11,976.00",7.80,5.27,7.76,4.25
Năm 2019,"151,111","39,615","15,303","12,145","12,145","63,409","157,945","51,885","38,320","106,060","1,444.00","12,052.00",12.81,8.04,12.03,7.70
Năm 2020,"116,922","36,269","11,393","9,759","9,759","54,891","144,659","37,063","31,165","107,596","1,109.00","12,227.00",10.19,8.35,9.14,6.45
Năm 2021,"133,289","45,231","19,296","16,853","16,853","70,775","156,030","39,447","39,222","116,583","1,915.00","13,248.00",9.19,12.64,15.04,11.21
Năm 2022,"150,575","51,221","25,614","20,541","20,541","78,472","158,194","33,642","33,417","124,553","2,334.00","14,154.00",5.53,13.64,17.04,13.07
Năm 2023,"152,172","49,156","24,428","20,102","20,102","79,644","160,022","29,651","29,426","130,371","2,284.00","14,815.00",6.48,13.21,15.77,12.63
Năm 2024,"137,548","46,404","21,612","17,359","17,359","91,228","167,142","31,784","31,567","135,358","1,973.00","15,382.00",8.97,12.62,13.07,10.61
