,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2004,"104,402","43,959","20,086","19,998","19,998","46,487","89,813","50,728","22,605","39,085","9,999.00","19,543.00",,19.15,102.33,44.53
Năm 2005,"113,333","58,506","24,044","24,065","24,065","77,243","119,756","56,775","39,792","62,981","12,033.00","31,491.00",,21.23,47.16,22.97
Năm 2006,"141,865","70,922","41,795","40,729","40,729","93,673","136,761","42,800","41,210","93,961","8,146.00","18,792.00",,28.71,51.90,31.76
Năm 2007,"196,432","95,530","62,563","57,053","57,053","99,698","219,257","68,244","66,204","151,014","5,705.00","15,101.00",,29.04,46.58,32.05
Năm 2008,"212,361","87,277","59,647","54,315","54,315","103,040","427,039","227,770","185,724","199,269","5,431.00","19,927.00",,25.58,31.01,16.81
Năm 2009,"254,694","98,173","63,788","62,388","62,388","158,232","478,392","235,848","235,681","242,543","6,239.00","24,254.00",0,24.50,28.24,13.78
Năm 2010,"349,673","118,639","146,478","131,195","131,195","455,892","984,604","382,380","382,181","602,224","9,371.00","43,016.00",6.14,37.52,31.06,17.94
Năm 2011,"322,199","98,106","61,468","59,608","59,608","449,292","1,043,141","452,690","452,631","590,452","4,291.00","42,880.00",11.07,18.50,10.00,5.88
Năm 2012,"430,007","94,807","69,127","64,739","64,739","599,152","1,115,673","460,483","460,483","655,190","4,701.00","47,581.00",6.79,15.06,10.39,6.00
Năm 2013,"441,131","84,246","20,369","17,504","17,504","659,655","1,117,790","459,095","236,154","658,694","1,271.00","47,835.00",21.08,3.97,2.66,1.57
Năm 2014,"557,738","133,891","40,738","35,700","35,700","706,050","1,158,547","464,482","241,579","694,065","2,593.00","50,404.00",10.88,6.40,5.28,3.14
Năm 2015,"602,496","101,762","24,648","19,557","19,557","710,230","1,159,027","445,405","221,830","713,622","1,420.00","51,824.00",12.11,3.25,2.78,1.69
Năm 2016,"460,756","102,745","14,031","7,886","7,886","784,862","1,207,997","486,488","486,488","721,509",573.00,"52,397.00",30.73,1.71,1.10,0.67
Năm 2017,"636,023","92,137","19,024","15,702","15,702","809,539","951,395","200,070","195,374","751,324","1,140.00","54,562.00",12.01,2.47,2.13,1.45
Năm 2018,"390,724","93,323","11,229","10,779","10,779","667,286","972,881","224,608","212,737","748,273",783.00,"54,341.00",15.59,2.76,1.44,1.12
Năm 2019,"492,476","94,922","12,003","8,958","8,958","835,989","1,022,365","265,133","251,827","757,232",651.00,"54,991.00",19.14,1.82,1.19,0.90
Năm 2020,"609,994","94,021","10,587","8,248","8,248","869,265","1,054,041","288,561","288,561","765,479",599.00,"55,590.00",22.38,1.35,1.08,0.79
Năm 2021,"709,890","84,851","26,426","20,194","20,194","882,579","1,068,255","282,582","282,582","785,673","1,467.00","57,057.00",14.05,2.84,2.60,1.90
Năm 2022,"697,240","80,047","30,801","23,895","23,895","913,681","1,065,476","269,677","269,677","795,798","1,735.00","57,792.00",8.07,3.43,3.02,2.24
Năm 2023,"406,105","69,701","18,768","12,117","12,117","871,635","1,026,374","220,353","202,353","806,021",880.00,"58,535.00",14.21,2.98,1.51,1.16
Năm 2024,"297,775","60,674","3,742","4,618","4,618","864,619","1,008,846","205,091","187,091","803,755",335.00,"58,370.00",33.39,1.55,0.57,0.45
