,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2015,"218,927","94,639","86,898","86,840","86,840","147,429","205,419","92,402","40,477","113,017","31,296.00","40,730.00",,39.67,153.68,84.55
Năm 2016,"268,615","112,327","105,228","105,227","105,227","401,277","477,867","217,907","37,730","259,960","7,015.00","17,331.00",,39.17,56.43,30.80
Năm 2017,"266,340","92,787","86,349","86,349","86,349","190,985","443,987","85,677","47,201","358,310","2,467.00","10,237.00",,32.42,27.93,18.73
Năm 2018,"269,650","92,988","85,888","81,392","81,392","203,005","515,049","75,347","49,258","439,701","2,325.00","12,563.00",,30.18,20.40,16.97
Năm 2019,"275,449","108,427","93,577","88,832","88,832","340,935","879,953","351,420","98,413","528,533","2,141.00","12,736.00",,32.25,18.35,12.74
Năm 2020,"335,605","155,688","112,114","108,969","108,969","179,663","1,157,095","519,593","136,503","637,502","2,626.00","15,362.00",,32.47,18.69,10.70
Năm 2021,"412,426","210,669","146,680","142,724","142,724","193,674","1,285,919","505,693","259,155","780,227","3,439.00","18,801.00",15.85,34.61,20.13,11.68
Năm 2022,"463,163","210,484","145,713","140,576","140,576","192,762","1,394,127","473,325","284,380","920,802","2,777.00","17,750.00",12.59,30.35,16.53,10.49
Năm 2023,"531,949","218,285","153,677","139,223","139,294","620,258","2,130,570","407,041","224,248","1,723,529","1,782.00","17,990.00",12.04,26.17,10.54,7.90
Năm 2024,"440,227","120,991","55,172","45,060","45,281","298,041","2,544,087","695,088","161,939","1,848,998",399.00,"12,824.00",46.07,10.24,2.53,1.94
