,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số
Năm 2005,"261,227","109,244","28,205","22,614","22,614","119,709","189,630","117,525","107,376","72,105","22,843.00","72,678.00",0,8.66,62.73,23.85,
Năm 2006,"360,241","130,845","19,652","15,965","15,965","186,731","234,068","133,174","129,546","100,894","7,983.00","50,320.00",0,4.43,18.46,7.54,
Năm 2007,"533,221","140,266","35,397","38,248","38,248","354,006","403,799","167,276","163,648","236,523","4,781.00","29,563.00",0,7.17,22.67,11.99,
Năm 2008,"780,183","161,292","59,170","46,038","46,038","303,876","359,320","106,889","103,233","252,431","5,755.00","31,575.00",7.30,5.90,18.83,12.07,
Năm 2009,"747,041","215,121","74,493","51,047","51,047","342,852","407,371","121,842","118,134","285,529","6,038.00","28,020.00",10.27,6.83,18.98,13.32,0
Năm 2010,"859,762","263,693","91,229","66,248","66,248","489,065","578,868","229,730","226,070","349,138","6,103.00","28,526.00",8.68,7.71,20.88,13.43,0
Năm 2011,"1,062,793","399,127","125,183","90,699","88,688","622,670","838,443","403,406","370,826","400,085","7,193.00","32,364.00",5.02,8.53,23.67,12.51,"34,952"
Năm 2012,"1,400,704","578,858","168,990","128,151","116,354","717,994","968,484","456,375","455,135","451,373","9,431.00","36,496.00",9.22,9.15,27.33,12.88,"60,735"
Năm 2013,"1,682,364","721,134","226,674","171,193","149,422","776,212","1,087,715","334,742","334,624","683,996","9,492.00","27,692.00",8.90,10.18,26.32,14.53,"68,977"
Năm 2014,"1,650,722","714,381","214,626","163,365","145,818","803,375","1,132,049","261,287","261,111","788,601","5,910.00","31,908.00",12.35,9.90,19.80,13.14,"82,162"
Năm 2015,"1,974,002","909,245","250,295","203,667","180,967","949,556","1,296,523","329,667","329,257","966,856","7,335.00","39,091.00",12.07,10.32,20.62,14.90,
Năm 2016,"1,998,334","994,681","281,231","228,226","210,596","841,551","1,377,454","362,691","354,737","1,014,763","7,213.00","29,330.00",15.81,11.42,21.25,15.75,
Năm 2017,"1,870,442","1,040,658","323,663","260,417","241,103","745,856","1,509,702","390,854","380,753","1,118,848","6,206.00","26,960.00",18.85,13.92,22.60,16.70,
Năm 2018,"1,798,350","934,691","216,838","174,773","156,278","859,394","1,589,862","482,648","312,184","1,107,214","3,770.00","26,684.00",18.57,9.72,14.04,10.08,
Năm 2019,"1,710,439","940,428","214,807","170,592","153,427","888,025","1,571,512","453,482","343,493","1,118,030","3,701.00","26,928.00",16.34,9.97,13.79,9.71,
Năm 2020,"1,908,870","1,031,414","264,661","216,748","195,787","1,010,170","1,650,826","478,376","433,821","1,172,449","4,723.00","28,254.00",15.16,11.35,17.10,12.15,
Năm 2021,"2,160,840","1,147,436","331,706","264,467","241,591","1,093,977","1,707,097","439,571","439,571","1,267,526","5,828.00","30,561.00",15.65,12.24,19.80,14.39,
Năm 2022,"2,398,918","1,343,197","366,637","293,515","269,145","1,226,499","1,816,265","435,706","435,706","1,380,559","6,493.00","33,291.00",13.71,12.24,20.33,15.28,
Năm 2023,"2,299,235","1,244,934","359,456","285,269","263,248","1,530,495","2,123,901","634,846","634,846","1,489,055","6,351.00","35,912.00",14.01,12.41,18.35,13.36,
Năm 2024,"2,347,221","1,236,456","323,884","257,358","239,017","1,594,032","2,168,911","636,211","636,211","1,532,700","5,766.00","36,968.00",13.61,10.96,15.82,11.14,
