,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2006,"63,258","11,946","-11,845","-11,421","-11,421","7,510","138,896","111,361","25,562","27,535","-2,993.00","7,216.00",,-18.05,-82.95,-16.45
Năm 2007,,,,,,,,,,,182.00,"9,497.00",,0,3.12,0
Năm 2008,"157,032","40,287","14,568","14,723","14,723","49,527","184,468","47,763","18,609","136,706","1,144.00","10,622.00",,9.38,21.54,15.96
Năm 2009,"210,631","58,728","33,630","31,059","31,059","66,271","197,769","58,560","30,081","139,209","2,397.00","10,741.00",,14.75,22.51,16.25
Năm 2010,"277,552","71,873","41,810","41,948","41,948","97,094","244,847","73,656","39,084","171,191","3,071.00","12,531.00",,15.11,27.03,18.95
Năm 2011,"332,870","89,527","51,932","47,392","47,392","65,914","281,463","89,201","50,519","192,262","3,047.00","12,363.00",,14.24,26.08,18.01
Năm 2012,"399,661","103,529","54,664","49,123","49,123","63,102","263,828","84,017","61,054","179,810","3,159.00","11,562.00",,12.29,26.40,18.02
Năm 2013,"408,969","101,932","57,422","51,663","51,663","71,758","256,361","54,305","40,722","202,056","3,322.00","12,992.00",,12.63,27.06,19.86
Năm 2014,"428,137","101,484","58,829","52,530","52,530","65,619","256,083","48,110","41,388","207,973","3,378.00","13,373.00",,12.27,25.62,20.50
Năm 2015,"444,225","103,869","59,389","53,483","53,483","61,132","240,136","48,208","48,029","191,928","3,439.00","12,341.00",,12.04,26.75,21.56
Năm 2016,"479,529","112,245","62,886","56,804","56,804","70,312","255,870","61,185","61,043","194,684","3,653.00","12,518.00",,11.85,29.39,22.90
Năm 2017,"542,999","125,312","70,520","63,032","63,032","108,545","283,299","62,788","62,734","220,511","4,053.00","14,179.00",16.95,11.61,30.36,23.38
Năm 2018,"581,627","135,051","73,634","66,611","66,611","109,677","289,847","80,896","80,854","208,951","4,283.00","13,436.00",13.07,11.45,31.02,23.24
Năm 2019,"660,649","151,241","85,143","76,981","76,981","106,881","301,005","75,895","75,876","225,110","4,950.00","14,475.00",10.36,11.65,35.47,26.06
Năm 2020,"570,709","119,224","58,382","53,289","53,289","125,032","304,374","57,998","57,998","246,376","3,426.00","15,842.00",15.03,9.34,22.60,17.61
Năm 2021,"430,014","65,895","11,425","10,826","10,826","95,080","267,576","49,787","49,787","217,789",696.00,"14,004.00",65.65,2.52,4.66,3.79
Năm 2022,"723,027","174,161","101,832","92,201","92,201","175,768","340,297","66,226","66,226","274,071","5,929.00","17,623.00",9.29,12.75,37.49,30.34
Năm 2023,"741,158","165,139","92,336","83,077","83,077","207,426","383,865","81,219","81,219","302,646","5,342.00","19,460.00",13.14,11.21,28.81,22.94
Năm 2024,"778,204","171,064","92,844","84,281","84,281","236,952","392,731","68,613","68,583","324,117","5,419.00","20,841.00",13.01,10.83,26.89,21.71
