,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2014,"405,780","49,509","2,665","1,796","1,796","208,880","221,887","203,776","198,304","18,111",992.00,"10,000.00",0,0.44,19.83,1.62
Năm 2015,"215,923","35,777","2,081","1,711","1,711","264,614","276,418","257,467","253,668","18,951",978.00,"10,829.00",0,0.79,9.23,0.69
Năm 2016,"320,872","46,711","2,413","2,057","2,057","282,525","295,084","275,188","275,188","19,896","1,175.00","11,369.00",15.91,0.64,10.59,0.72
Năm 2017,"245,088","40,005","1,534","4,728","4,728","158,177","168,319","145,345","145,345","22,975","2,711.00","13,253.00",6.27,1.93,22.06,2.04
Năm 2018,"256,004","29,303",156,203,203,"118,511","130,937","109,466","107,914","21,471",117.00,"12,435.00",95.62,0.08,0.91,0.14
Năm 2019,"338,318","31,332",7,159,159,"168,966","181,346","159,828","157,786","21,518",92.00,"12,543.00",124.41,0.05,0.74,0.10
Năm 2020,"264,327","36,619","2,254","1,720","1,720","138,557","151,654","128,506","127,266","23,148","1,005.00","13,564.00",10.95,0.65,7.70,1.03
Năm 2021,"220,357","30,827","2,807","2,419","2,419","161,224","176,887","152,362","151,782","24,524","1,419.00","14,387.00",12.12,1.10,10.15,1.47
Năm 2022,"317,498","40,522","4,183","3,150","3,150","211,742","228,845","201,432","199,399","27,413","1,849.00","16,101.00",6.49,0.99,12.13,1.55
Năm 2023,"347,729","39,681","4,540","3,289","3,289","194,406","210,176","180,265","178,671","29,911","1,932.00","17,568.00",6.73,0.95,11.48,1.50
Năm 2024,"255,746","40,240","5,809","4,678","4,678","157,800","174,304","141,060","139,864","33,244","2,748.00","19,526.00",5.17,1.83,14.82,2.43
