,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2008,"107,067","22,188","9,408","7,157","7,157","69,373","121,744","69,448","69,448","52,296","1,590.00","11,621.00",,6.68,27.37,11.76
Năm 2009,"124,657","26,088","10,847","9,683","9,683","72,724","125,175","69,609","69,439","55,566","2,152.00","12,348.00",,7.77,17.95,7.84
Năm 2010,"138,679","33,303","15,051","11,577","9,871","108,073","158,801","99,254","84,434","59,546","2,193.00","13,233.00",,8.35,17.15,6.95
Năm 2011,"167,491","37,424","16,029","13,780","10,086","105,401","158,583","98,442","85,392","60,141","2,241.00","13,365.00",,8.23,16.85,6.36
Năm 2012,"131,856","29,421","5,092","4,720","2,356","87,008","144,915","77,537","66,678","67,378",423.00,"12,108.00",,3.58,3.69,1.55
Năm 2013,"150,426","36,075","7,522","6,212","4,809","96,309","154,096","83,934","74,436","70,162",864.00,"12,609.00",0,4.13,6.99,3.22
Năm 2014,"173,042","44,037","7,672","6,890","5,998","90,020","142,747","71,368","62,612","71,378","1,078.00","12,827.00",0,3.98,8.47,4.04
Năm 2015,"150,799","26,209","1,749","2,508","1,975","134,361","182,677","88,119","86,351","94,559",253.00,"12,131.00",0,1.66,2.38,1.21
Năm 2016,"165,869","28,195","3,941","3,281","3,281","145,348","191,566","30,402","28,755","161,164",247.00,"12,122.00",78.21,1.98,2.57,1.75
Năm 2017,"162,337","24,375","6,413","5,054","5,054","175,286","395,273","231,107","229,615","164,166",380.00,"12,348.00",55.24,3.11,3.11,1.72
Năm 2018,"113,056","13,930",443,"8,158","8,158","168,460","410,988","243,158","241,820","167,830",614.00,"12,624.00",32.59,7.22,4.91,2.02
Năm 2019,"116,520","13,636","-9,491","-1,146","-1,146","290,185","391,641","229,761","228,662","161,880",-86.00,"12,176.00",-266.77,-0.98,-0.70,-0.29
Năm 2020,"172,215","18,206","-6,099","-6,850","-6,850","288,883","391,746","236,716","235,591","155,030",-515.00,"11,661.00",-21.35,-3.98,-4.32,-1.75
Năm 2021,"166,142","19,570","-6,994","-7,240","-7,240","273,612","373,055","225,264","224,216","147,790",-545.00,"11,117.00",-28.28,-4.36,-4.78,-1.89
Năm 2022,"150,237","21,500","1,947","2,080","2,080","275,350","374,684","224,813","223,505","149,871",156.00,"11,273.00",100.97,1.38,1.40,0.56
Năm 2023,"140,140","18,253","2,333","2,211","2,211","276,258","372,214","220,133","218,981","152,082",166.00,"11,439.00",81.78,1.58,1.46,0.59
Năm 2024,"130,581","17,040","2,559","3,070","3,070","292,740","386,844","231,692","230,681","155,152",231.00,"11,670.00",44.17,2.35,2.00,0.81
