,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2004,"176,959","32,227","19,566","19,552","19,552","53,399","82,198","43,017","34,201","39,182","5,926.00","11,876.00",,11.05,99.80,47.57
Năm 2005,"161,854","32,493","20,233","18,279","18,279","68,124","96,524","46,814","42,350","49,709","4,893.00","13,308.00",,11.29,41.13,20.45
Năm 2006,"170,458","34,886","21,166","19,439","19,439","126,051","162,748","21,998","21,841","140,750","3,888.00","28,150.00",,11.40,20.41,14.99
Năm 2007,"191,443","42,775","28,839","25,529","25,529","142,847","176,614","16,836","16,600","159,779","4,255.00","26,630.00",,13.33,16.99,15.05
Năm 2008,"206,952","43,904","30,300","27,507","27,507","151,992","191,437","22,688","22,396","168,749","4,584.00","28,125.00",,13.29,16.75,14.95
Năm 2009,"228,584","51,275","34,546","30,155","30,155","163,716","235,647","54,492","54,207","181,155","5,026.00","30,192.00",,13.19,17.24,14.12
Năm 2010,"249,040","59,828","33,613","26,272","26,272","194,263","306,344","105,730","70,566","200,614","4,379.00","33,436.00",,10.55,13.76,9.69
Năm 2011,"281,676","63,275","29,564","26,291","26,291","154,589","378,493","134,209","93,568","244,284","3,173.00","29,478.00",,9.33,11.82,7.68
Năm 2012,"315,962","61,867","25,274","21,887","21,887","190,289","402,439","151,622","116,871","250,817","2,641.00","30,266.00",,6.93,8.84,5.61
Năm 2013,"331,117","72,423","27,812","22,605","22,605","201,570","340,176","79,079","70,073","261,097","2,598.00","30,011.00",,6.83,8.83,6.09
Năm 2014,"399,235","81,886","36,758","29,063","29,063","265,603","385,539","113,123","113,031","272,416","3,341.00","31,312.00",,7.28,10.89,8.01
Năm 2015,"386,953","84,459","38,306","35,851","35,851","312,389","423,661","105,262","105,262","318,398","2,945.00","26,152.00",,9.26,12.14,8.86
Năm 2016,"392,490","87,924","35,670","58,126","58,126","388,538","502,923","133,180","133,114","369,743","4,547.00","28,925.00",,14.81,16.89,12.55
Năm 2017,"411,409","103,024","56,031","57,792","57,792","400,404","519,475","136,357","136,351","383,118","4,525.00","30,019.00",8.29,14.05,15.35,11.31
Năm 2018,"484,929","117,319","64,951","52,337","52,337","482,050","609,385","195,024","195,024","414,361","4,101.00","32,467.00",7.88,10.79,13.13,9.27
Năm 2019,"619,253","119,027","44,702","44,466","44,466","525,806","662,854","237,683","237,683","425,171","3,485.00","33,348.00",9.31,7.18,10.59,6.99
Năm 2020,"686,481","155,936","56,385","50,181","50,181","631,147","895,798","351,726","351,726","544,073","3,900.00","33,900.00",8.03,7.31,10.35,6.44
Năm 2021,"785,356","187,284","69,914","60,217","60,217","744,274","1,031,599","447,373","447,373","584,226","3,752.00","36,401.00",10.34,7.67,10.67,6.25
Năm 2022,"1,007,796","252,388","92,218","73,548","73,548","920,692","1,102,194","475,601","475,601","626,593","4,385.00","37,227.00",8.55,7.30,12.15,6.89
Năm 2023,"1,019,317","270,580","91,180","80,219","80,219","875,016","1,093,445","361,463","361,463","731,982","4,730.00","39,775.00",8.25,7.87,11.81,7.31
Năm 2024,"934,487","229,739","84,237","71,823","71,823","922,220","1,125,829","374,058","374,058","751,771","3,545.00","34,042.00",10.44,7.69,9.68,6.47
