,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2007,"2,874,848","243,008","13,630","14,093","14,093","1,147,519","1,305,104","1,266,048","1,212,328","39,055","5,637.00","15,915.00",0,0.49,72.17,2.16
Năm 2008,"3,831,238","370,357","22,154","26,740","26,740","1,401,046","1,545,015","1,437,209","1,436,805","107,806","4,088.00","16,444.00",0,0.70,36.41,1.88
Năm 2009,"5,072,745","485,322","25,133","25,065","25,065","1,892,244","2,031,973","1,959,548","1,958,869","72,425","3,832.00","10,680.00",0,0.49,27.81,1.40
Năm 2010,"5,980,353","575,155","26,627","23,107","23,107","2,565,798","2,715,274","2,572,989","2,558,624","142,286","2,838.00","17,243.00",10.15,0.39,21.52,0.97
Năm 2011,"7,320,492","702,207","35,236","29,133","29,133","3,887,206","4,036,380","3,864,730","3,646,751","171,650","3,578.00","20,848.00",5.87,0.40,18.56,0.86
Năm 2012,"8,940,038","792,296","20,032","15,293","15,293","4,347,964","4,493,542","4,319,508","4,109,506","174,034","1,847.00","20,495.00",7.80,0.17,8.85,0.36
Năm 2013,"10,485,186","876,840","36,198","21,512","21,512","4,941,297","5,097,929","4,921,988","4,687,177","175,941","2,549.00","20,767.00",4.83,0.21,12.29,0.45
Năm 2014,"11,367,372","920,499","38,547","30,278","30,278","5,662,736","5,814,894","5,625,281","5,591,367","189,613","3,587.00","22,401.00",5.41,0.27,16.57,0.55
Năm 2015,"11,747,565","1,104,610","41,809","22,819","22,819","6,209,523","6,355,986","6,169,194","6,070,346","186,792","2,704.00","22,006.00",11.13,0.19,12.12,0.37
Năm 2016,"12,992,222","1,068,111","40,522","24,694","24,694","7,534,535","7,689,607","7,421,144","7,344,236","268,463","2,892.00","22,402.00",11.34,0.19,10.85,0.35
Năm 2017,"14,608,063","1,206,033","47,926","31,014","31,014","9,335,429","9,483,727","9,142,405","9,121,897","341,323","2,166.00","22,049.00",12.01,0.21,10.17,0.36
Năm 2018,"15,179,927","1,399,948","47,188","33,035","33,035","9,535,926","9,748,013","9,406,848","9,383,720","341,165","2,140.00","22,045.00",10.00,0.22,9.68,0.34
Năm 2019,"18,239,158","1,489,277","46,813","31,997","31,997","8,754,954","9,004,433","8,664,716","8,639,618","339,717","2,072.00","21,868.00",11.97,0.18,9.40,0.34
Năm 2020,"18,142,492","1,504,378","41,333","37,350","36,901","8,056,922","8,305,838","7,942,057","7,918,441","363,781","2,390.00","23,433.00",9.00,0.21,10.49,0.43
Năm 2021,"12,311,863","1,069,687","28,175","20,626","21,124","5,275,464","5,527,281","5,129,236","5,111,112","398,045","1,368.00","25,655.00",25.95,0.17,5.55,0.31
Năm 2022,"7,073,499","544,766","46,533","35,154","34,818","2,812,320","3,053,522","2,634,819","2,614,073","418,702","2,255.00","26,993.00",9.27,0.50,8.53,0.81
Năm 2023,"3,543,980","288,210","46,648","31,189","28,237","1,620,041","1,855,798","1,431,818","1,411,741","423,980","1,829.00","27,335.00",9.30,0.88,6.70,1.15
Năm 2024,"1,249,868","118,944","2,637","23,553","23,194","976,303","1,197,455","780,800","762,331","416,654","1,502.00","26,860.00",10.98,1.88,5.52,1.52
