,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2004,"610,793","31,541","10,243","5,885","5,885","273,678","279,892","246,738","245,481","33,154","2,102.00","11,841.00",,0.96,35.50,4.21
Năm 2005,"212,485","12,558","3,415","4,166","4,166","118,872","124,834","87,514","86,048","37,320","1,488.00","13,329.00",,1.96,11.82,2.06
Năm 2006,"170,519","13,118","5,394","4,475","4,475","157,411","164,279","128,850","127,130","35,429","1,598.00","12,653.00",,2.62,12.30,3.10
Năm 2007,"224,758","15,947","4,827","4,591","4,591","159,347","167,650","132,057","128,980","35,594","1,640.00","12,712.00",,2.04,12.93,2.77
Năm 2008,"249,345","23,246","6,216","5,267","5,267","219,103","229,486","193,589","191,416","35,897","1,881.00","12,820.00",,2.11,14.73,2.65
Năm 2009,"458,595","29,277","5,801","6,040","6,040","378,338","390,333","353,462","352,000","36,871","2,157.00","13,168.00",,1.32,16.60,1.95
Năm 2010,"351,119","32,140","7,843","6,850","6,850","446,832","458,451","420,547","420,306","37,904","2,446.00","13,537.00",,1.95,18.32,1.61
Năm 2011,"376,818","41,376","9,077","7,986","7,986","545,850","557,908","516,990","516,749","40,918","2,852.00","14,614.00",,2.12,20.26,1.57
Năm 2012,"414,622","53,303","11,618","9,907","9,907","530,408","542,485","499,785","498,540","42,700","3,538.00","15,250.00",,2.39,23.70,1.80
Năm 2013,"467,976","49,188","8,311","10,545","10,545","613,518","626,140","578,706","577,742","47,434","3,766.00","16,941.00",,2.25,23.40,1.80
Năm 2014,"447,524","52,105","9,219","11,224","11,224","674,758","685,349","635,982","634,858","49,367","4,009.00","17,631.00",,2.51,23.19,1.71
Năm 2015,"510,467","68,432","13,068","11,800","11,800","572,257","593,240","536,393","529,855","56,847","4,214.00","20,302.00",,2.31,22.22,1.85
Năm 2016,"534,938","87,626","14,849","12,405","12,405","619,311","660,310","600,674","586,866","59,636","4,430.00","21,299.00",,2.32,21.30,1.98
Năm 2017,"494,930","82,382","16,100","13,135","13,135","701,106","756,608","703,371","687,342","53,237","4,604.00","17,285.00",0,2.65,23.27,1.85
Năm 2018,"529,436","92,344","17,122","14,090","14,090","717,167","768,929","712,411","688,064","56,517","4,575.00","18,350.00",21.20,2.66,25.67,1.85
Năm 2019,"509,749","93,582","18,481","15,121","15,121","692,064","752,198","692,297","663,469","59,901","4,909.00","19,449.00",18.74,2.97,25.98,1.99
Năm 2020,"566,469","48,801","-16,052","-12,013","-12,013","939,039","995,535","982,076","980,886","13,459","-3,900.00","4,370.00",-22.92,-2.12,-32.75,-1.37
Năm 2021,"604,265","52,464",334,"10,665","10,665","721,816","780,803","759,057","758,275","21,747","3,463.00","7,061.00",15.88,1.76,60.59,1.20
Năm 2022,"680,147","61,663","10,889","31,996","31,996","866,180","923,621","891,218","890,902","32,403","10,388.00","10,520.00",10.59,4.70,118.18,3.75
Năm 2023,"556,385","61,037","-1,673","6,574","6,574","874,180","940,182","901,205","873,560","38,977","2,134.00","12,655.00",63.72,1.18,18.42,0.71
Năm 2024,"693,551","88,131","9,933","9,614","9,614","894,893","1,028,879","849,202","849,202","179,677","1,761.00","18,818.00",22.72,1.39,8.79,0.98
